strike,expiry,spot,atm,moneyness,ce_ltp,ce_oi,ce_chng_oi,ce_volume,ce_iv,ce_bid,ce_ask,ce_delta,ce_theta,ce_gamma,ce_vega,pe_ltp,pe_oi,pe_chng_oi,pe_volume,pe_iv,pe_bid,pe_ask,pe_delta,pe_theta,pe_gamma,pe_vega
20100,26-May-2026,23719.3,23700,ITM,0.0,8,0,0,74.83,0,0,0,0,0,0,0.4,34985,-1570,19460,52.41,0,0,0,0,0,0
20150,26-May-2026,23719.3,23700,ITM,0.0,1,0,0,0.0,0,0,0,0,0,0,0.45,1527,240,6762,52.21,0,0,0,0,0,0
20200,26-May-2026,23719.3,23700,ITM,0.0,1,0,0,0.0,0,0,0,0,0,0,0.55,10835,306,4059,52.4,0,0,0,0,0,0
20250,26-May-2026,23719.3,23700,ITM,0.0,1,0,0,0.0,0,0,0,0,0,0,0.45,354,42,1409,50.76,0,0,0,0,0,0
20300,26-May-2026,23719.3,23700,ITM,0.0,2,0,0,0.0,0,0,0,0,0,0,0.5,1289,-79,3375,50.5,0,0,0,0,0,0
20350,26-May-2026,23719.3,23700,ITM,0.0,1,0,0,0.0,0,0,0,0,0,0,0.55,484,53,514,50.19,0,0,0,0,0,0
20400,26-May-2026,23719.3,23700,ITM,0.0,1,0,0,0.0,0,0,0,0,0,0,0.5,881,245,2657,49.04,0,0,0,0,0,0
20450,26-May-2026,23719.3,23700,ITM,0.0,1,0,0,0.0,0,0,0,0,0,0,0.5,532,-19,1420,48.32,0,0,0,0,0,0
20500,26-May-2026,23719.3,23700,ITM,3235.7,192,-14,31,0.0,0,0,0,0,0,0,0.5,23883,-2877,17283,47.59,0,0,0,0,0,0
20550,26-May-2026,23719.3,23700,ITM,0.0,1,0,0,0.0,0,0,0,0,0,0,0.5,259,-54,758,46.87,0,0,0,0,0,0
20600,26-May-2026,23719.3,23700,ITM,0.0,1,0,0,0.0,0,0,0,0,0,0,0.55,675,-167,1971,46.54,0,0,0,0,0,0
20650,26-May-2026,23719.3,23700,ITM,0.0,2,0,0,0.0,0,0,0,0,0,0,0.55,461,123,1988,45.81,0,0,0,0,0,0
20700,26-May-2026,23719.3,23700,ITM,0.0,2,0,0,0.0,0,0,0,0,0,0,0.5,2620,158,5040,44.7,0,0,0,0,0,0
20750,26-May-2026,23719.3,23700,ITM,0.0,1,0,0,0.0,0,0,0,0,0,0,0.5,422,-50,2125,43.98,0,0,0,0,0,0
20800,26-May-2026,23719.3,23700,ITM,0.0,0,0,0,64.41,0,0,0,0,0,0,0.55,3251,1111,8756,43.63,0,0,0,0,0,0
20850,26-May-2026,23719.3,23700,ITM,0.0,3,0,0,0.0,0,0,0,0,0,0,0.65,558,214,2474,43.57,0,0,0,0,0,0
20900,26-May-2026,23719.3,23700,ITM,0.0,3,0,0,0.0,0,0,0,0,0,0,0.65,1263,7,4519,42.84,0,0,0,0,0,0
20950,26-May-2026,23719.3,23700,ITM,0.0,2,0,0,0.0,0,0,0,0,0,0,0.6,608,31,1984,41.8,0,0,0,0,0,0
21000,26-May-2026,23719.3,23700,ITM,2768.55,3177,-215,475,67.52,0,0,0,0,0,0,0.75,57003,-12407,63433,41.95,0,0,0,0,0,0
21050,26-May-2026,23719.3,23700,ITM,0.0,3,0,0,0.0,0,0,0,0,0,0,0.75,665,-66,1180,41.21,0,0,0,0,0,0
21100,26-May-2026,23719.3,23700,ITM,0.0,4,0,0,0.0,0,0,0,0,0,0,0.8,5569,-1240,15126,40.72,0,0,0,0,0,0
21150,26-May-2026,23719.3,23700,ITM,0.0,4,0,0,0.0,0,0,0,0,0,0,0.95,355,-51,1336,40.67,0,0,0,0,0,0
21200,26-May-2026,23719.3,23700,ITM,0.0,4,0,0,0.0,0,0,0,0,0,0,1.0,4819,-80,10585,40.13,0,0,0,0,0,0
21250,26-May-2026,23719.3,23700,ITM,0.0,4,0,0,0.0,0,0,0,0,0,0,0.8,1535,740,9110,38.5,0,0,0,0,0,0
21300,26-May-2026,23719.3,23700,ITM,0.0,4,0,0,54.25,0,0,0,0,0,0,0.95,8588,-813,32866,38.42,0,0,0,0,0,0
