dist_pct,wall_oi,wall_oi_log,oi_concentration,oi_change_ratio,wall_chg_oi,oi_building,strike_pcr,pcr,vol_pcr,max_pain_dist,wall_to_maxpain,wall_iv,iv_vs_atm,depth_ratio,support_depth_log,oi_skew,wall_vol,wall_vol_log,wall_vol_ratio,competing_walls,premium_pct,premium,net_oi_bias,total_oi_log,n_strikes,wall_type,spot,strike,date,held_1d,breach_pct_1d,held_2d,breach_pct_2d,held_3d,breach_pct_3d,held_5d,breach_pct_5d,premium_pnl,premium_pnl_pct
0.845,3503325,15.069,5.846,0.1916,671250,1,12.338,0.597,0.925,-0.434,1.279,2.79,0.236,2.306,15.905,0.455,1048777,13.863,2.871,3,0.0825,12.9,-1.0,17.909,21,1,15632.099609375,15500,2021-07-20,1,0.0,1,0.0,1,0.0,1,0.0,12.8,99.15
1.074,5857125,15.583,9.773,0.0995,582825,1,0.281,0.597,0.925,-0.434,0.64,2.04,0.173,2.712,16.581,0.455,1162920,13.966,3.184,5,0.0601,9.4,-1.0,17.909,21,0,15632.099609375,15800,2021-07-20,0,0.154,0,0.359,0,0.359,0,0.359,-4.45,-47.29
2.048,3112950,14.951,6.998,-0.1254,-390375,0,33.472,0.984,0.905,0.152,1.896,1.0,0.323,2.214,15.746,1.18,471436,13.064,0.852,7,0.0006,0.1,1.0,17.611,21,1,15824.0498046875,15500,2021-07-22,1,0.0,1,0.0,1,0.0,1,0.0,-9.65,-8772.73
1.112,3394725,15.038,7.631,-0.2378,-807300,0,0.024,0.984,0.905,0.152,1.264,1.0,0.323,2.073,15.767,1.18,508502,13.139,0.919,6,0.0006,0.1,1.0,17.611,21,0,15824.0498046875,16000,2021-07-22,1,0.0,1,0.0,1,0.0,1,0.0,-22.4,-20363.64
0.353,4439300,15.306,7.847,0.4244,1884050,1,1.299,0.798,0.794,0.353,0.0,6.83,0.68,2.3,16.139,0.891,1333171,14.103,4.527,4,0.3491,55.35,-0.0663,17.851,21,1,15856.0498046875,15800,2021-07-23,1,0.0,0,0.338,0,0.571,0,0.571,-3.5,-6.32
0.908,6120400,15.627,10.819,0.2876,1760100,1,0.126,0.798,0.794,0.353,1.261,2.77,0.276,2.058,16.349,0.891,976773,13.792,3.317,4,0.1419,22.5,-0.0663,17.851,21,0,15856.0498046875,16000,2021-07-23,1,0.0,1,0.0,1,0.0,1,0.0,10.35,45.98
0.786,3956600,15.191,5.622,0.247,977450,1,4.549,0.841,0.964,0.155,0.632,4.93,0.384,2.576,16.137,0.887,704453,13.465,2.375,7,0.1782,28.2,-0.16,18.069,21,1,15824.4501953125,15700,2021-07-26,1,0.0,1,0.0,1,0.0,1,0.0,-16.4,-58.14
1.109,7032800,15.766,9.992,0.1297,912400,1,0.105,0.841,0.964,0.155,1.264,2.12,0.165,2.119,16.517,0.887,1026875,13.842,3.461,3,0.0768,12.15,-0.16,18.069,21,0,15824.4501953125,16000,2021-07-26,1,0.0,1,0.0,1,0.0,1,0.0,7.35,60.44
1.565,4161650,15.241,5.521,0.053,220600,1,8.773,0.638,0.906,-0.34,1.905,1.56,0.114,2.282,16.066,0.513,635226,13.362,1.373,6,0.046,7.25,-1.0,18.138,21,1,15746.4501953125,15500,2021-07-27,1,0.0,1,0.0,1,0.0,1,0.0,1.55,21.35
0.975,7070950,15.772,9.381,0.1962,1387150,1,0.189,0.638,0.906,-0.34,0.635,2.71,0.198,3.092,16.9,0.513,1763258,14.383,3.811,7,0.08,12.6,-1.0,18.138,21,0,15746.4501953125,15900,2021-07-27,1,0.0,1,0.0,1,0.0,0,1.465,8.65,68.6
1.333,4989450,15.423,6.74,0.1659,827800,1,7.707,0.705,0.827,0.06,1.273,1.74,0.119,2.202,16.212,0.726,2247347,14.625,3.09,5,0.0363,5.7,0.4754,18.12,21,1,15709.400390625,15500,2021-07-28,1,0.0,1,0.0,1,0.0,1,0.0,5.6,98.07
0.577,6563250,15.697,8.866,-0.0605,-396850,0,0.238,0.705,0.827,0.06,0.637,4.6,0.314,2.982,16.79,0.726,2442676,14.709,3.359,6,0.0961,15.1,0.4754,18.12,21,0,15709.400390625,15800,2021-07-28,1,0.0,1,0.0,0,0.542,0,2.921,12.75,84.38
0.497,4665750,15.356,7.737,0.2442,1139350,1,3.971,0.775,0.904,-0.137,0.634,1.0,0.263,2.632,16.324,0.742,3435241,15.05,4.074,6,0.001,0.15,0.812,17.915,21,1,15778.4501953125,15700,2021-07-29,1,0.0,1,0.0,1,0.0,1,0.0,-59.8,-37375.0
