Date,Open,Close,High,Low,Volume
2016-05-30,213.95226198226166,212.2650146484375,215.06978962709746,211.45425126757416,9633652
2016-05-31,212.33077438883083,209.88754272460938,213.20727307042165,209.59173429301813,23332727
2016-06-01,209.90942742665803,208.95623779296875,211.69529216335349,208.56182660164214,9042808
2016-06-02,209.15347092097073,209.53692626953125,209.73414650468828,207.09370939654212,10253825
2016-06-03,210.358627708713,210.2819366455078,210.9940825740233,209.44926156177382,8643295
2016-06-06,210.5777645495879,209.21920776367188,211.01601386441843,208.72617911290325,8672842
2016-06-07,209.75607489327328,209.2740020751953,210.5668237504996,208.51801793049998,18954268
2016-06-08,209.92039868721676,209.06582641601562,209.92039868721676,207.9811516783498,12135516
2016-06-09,210.3586483500551,212.8018798828125,213.96323106566854,209.52597318461522,15643495
2016-06-10,213.42638914293337,214.0180206298828,215.70528277589165,212.17739096240973,16316760
2016-06-13,212.52799008596244,214.982177734375,215.49711817444103,211.02699223918893,10214469
2016-06-14,214.94929916254821,213.91941833496094,215.92440065114968,212.3965088291743,10923848
2016-06-15,214.74111548481852,215.74908447265625,216.1654074059292,213.37158826970796,11129082
2016-06-16,214.9602549728195,213.9303741455078,215.54093059324074,211.90348009426714,9372207
2016-06-17,214.08375726818355,213.62359619140625,214.4453155343643,212.571803623723,10534878
2016-06-20,213.0209959589808,216.97618103027344,217.50207728233312,212.11164435555278,10758608
2016-06-21,217.8307861924487,216.2969207763672,217.84174206054942,214.67540841547998,13933068
2016-06-22,215.8367347600652,214.85067749023438,216.03394036310115,214.1056492907808,12788710
2016-06-23,214.73017826231325,214.83973693847656,215.17936883458282,212.54988747003043,9837526
2016-06-24,211.4323385381779,208.48512268066406,211.4323385381779,204.52995247609346,24985097
2016-06-27,206.0857560533214,209.4054718017578,210.00805916554054,206.0857560533214,9163399
2016-06-28,209.5698226145508,209.8765869140625,210.69830625669405,209.26304368771218,7604977
2016-06-29,210.7969012058477,211.87060546875,212.31981066075218,210.35865188127661,7523987
2016-06-30,212.9881312673779,212.36363220214844,214.19332055583646,211.90347114689354,12758283
2016-07-01,213.15246503890143,213.30584716796875,214.0399048415443,212.54986313434435,6610193
2016-07-04,213.7550559001002,216.209228515625,217.7211819808993,213.7550559001002,7803505
2016-07-05,216.07776803203262,217.61163330078125,219.75904175156415,214.8068581997706,11359882
2016-07-07,217.48018286074938,216.4722137451172,219.23316563138806,216.08874373589626,12029091
2016-07-08,216.2749858086854,214.39051818847656,216.7132204856403,213.9413130172721,7140617
2016-07-11,217.15148817014477,217.4801788330078,218.0170309850437,215.94631345185854,8266601
2016-07-12,218.08275693294104,219.86862182617188,220.2192095825254,217.15147895047446,9767494
2016-07-13,220.2630434552522,221.0409393310547,222.78296620969223,220.03297022927867,14915296
2016-07-14,220.89848559712794,220.19728088378906,222.21321883681932,218.7401067517264,10758372
2016-07-15,221.09571535494237,221.79690551757812,223.7251967489848,219.89054064897658,13992989
2016-07-18,225.2590521886203,220.4931182861328,227.61463678538598,219.50706097840077,32106850
2016-07-19,220.43834420441036,223.0240020751953,224.15248568416064,218.09371541901248,16649300
2016-07-20,223.49509914435163,224.16342163085938,225.3247727391712,222.7500709647109,12265316
2016-07-21,224.38256896445108,220.51504516601562,224.60170095195642,220.2192221024479,6711097
2016-07-22,220.43833178469038,222.37757873535156,223.02398950979676,220.24111155315876,6899519
2016-07-25,222.19132254947732,224.10865783691406,224.3277751829863,220.73414831611845,8241568
2016-07-26,224.16345094241404,224.39352416992188,226.74910892151834,222.45429165608897,10516399
2016-07-27,224.17437073440928,221.9940948486328,224.82078146832785,221.08472869826662,11030767
2016-07-28,222.39951032823146,224.8975067138672,225.80687300244747,221.98317272151652,15610838
2016-07-29,224.38256159883497,222.3885498046875,224.57978184384848,221.75308022637645,9629597
2016-08-01,223.06783253491668,221.2052764892578,223.5718170838445,220.23017499498482,7978251
2016-08-02,220.87659794557266,221.9283905029297,223.50607933896524,220.50408381520506,7710138
2016-08-03,222.2789639734849,217.7978973388672,222.2789639734849,217.26104522698256,11872282
2016-08-04,218.9044696081516,217.5897216796875,219.1235869492327,215.4861366960056,10187608
2016-08-05,218.685348006543,222.68435668945312,223.2869440333177,218.47718652264803,12109001
2016-08-08,223.4841684592869,225.53297424316406,226.57381093677031,223.21025713749887,13556347
2016-08-09,225.03994391204938,225.85069274902344,226.68336794872005,223.72519590631683,13290768
2016-08-10,225.97121519610445,219.92340087890625,226.69431706997543,219.56184262830763,13471958
2016-08-11,219.55087752238865,222.21322631835938,224.13056153706498,219.0359371502519,14169454
2016-08-12,222.8486777703889,226.96820068359375,228.52399227011196,222.8486777703889,16365425
2016-08-16,227.06684337150415,224.5797882080078,228.94034067460092,222.5200265222684,13367575
2016-08-17,224.40445912127265,222.03793334960938,225.4343398697291,220.70127369907684,15486572
2016-08-18,222.6295911610184,223.07879638671875,224.30588288570934,222.6295911610184,7749690
2016-08-19,223.06782822626903,222.3885498046875,223.94432689286407,220.67937594209448,8177802
2016-08-22,221.75306718597597,221.72019958496094,223.44032921404937,220.7012746988442,6684236
2016-08-23,221.75308405142331,221.4134521484375,222.41046537637214,220.21921867208744,7320433
2016-08-24,221.68733993219632,223.61563110351562,223.93336588537835,221.53395778862702,8719596
2016-08-25,223.7690202799804,221.90647888183594,225.47819415706164,221.0957154142639,14960746
2016-08-26,223.04588980503635,225.23712158203125,225.8725764569878,222.32277337204712,9639663
2016-08-29,225.09471573209223,231.71224975585938,232.21623428045746,224.84271615613008,16193208
2016-08-30,232.70927052638626,233.6734161376953,234.1335625806446,230.73715583301112,18170724
