dist_pct,wall_oi,wall_oi_log,oi_concentration,oi_change_ratio,wall_chg_oi,oi_building,strike_pcr,pcr,vol_pcr,max_pain_dist,wall_to_maxpain,wall_iv,iv_vs_atm,depth_ratio,support_depth_log,oi_skew,wall_vol,wall_vol_log,wall_vol_ratio,competing_walls,premium_pct,premium,net_oi_bias,total_oi_log,n_strikes,wall_type,spot,strike,date,held_1d,breach_pct_1d,held_2d,breach_pct_2d,held_3d,breach_pct_3d,held_5d,breach_pct_5d,premium_pnl,premium_pnl_pct
1.03,1114050,13.924,9.858,0.7317,815150,1,1.703,0.783,0.661,0.464,0.566,10.4,0.557,1.91,14.571,0.886,1101567,13.912,3.924,2,0.5336,188.7,0.1571,16.24,21,1,35364.23828125,35000,2021-06-25,1,0.0,1,0.0,0,0.645,0,0.895,43.35,22.97
1.798,1086475,13.898,9.614,0.5441,591200,1,0.069,0.783,0.661,0.464,2.262,5.35,0.287,1.508,14.309,0.886,693802,13.45,2.471,4,0.2744,97.05,0.1571,16.24,21,0,35364.23828125,36000,2021-06-25,1,0.0,1,0.0,1,0.0,1,0.0,15.3,15.76
1.015,1291925,14.072,8.217,0.1377,177875,1,1.541,0.623,0.757,0.167,0.848,11.32,0.486,1.82,14.67,0.589,917261,13.729,2.659,3,0.4111,145.35,-0.5149,16.571,21,1,35359.0390625,35000,2021-06-28,1,0.0,0,0.645,0,0.895,0,0.895,-44.1,-30.34
0.399,1736875,14.368,11.047,0.4841,840825,1,0.379,0.623,0.757,0.167,0.566,18.61,0.8,1.999,15.06,0.589,1608412,14.291,4.662,3,0.6761,239.05,-0.5149,16.571,21,0,35359.0390625,35500,2021-06-28,1,0.0,1,0.0,1,0.0,1,0.0,170.35,71.26
1.456,1114800,13.924,5.769,0.2366,263775,1,5.415,0.574,0.917,0.028,1.428,4.48,0.212,1.83,14.528,0.546,636701,13.364,1.617,2,0.1331,46.6,-0.8884,16.777,21,1,35009.89453125,34500,2021-06-29,1,0.0,1,0.0,1,0.0,1,0.0,7.0,15.02
1.4,1934950,14.476,10.013,0.1024,198075,1,0.184,0.574,0.917,0.028,1.428,6.61,0.313,2.024,15.181,0.546,1143978,13.95,2.905,3,0.1962,68.7,-0.8884,16.777,21,0,35009.89453125,35500,2021-06-29,1,0.0,1,0.0,1,0.0,0,0.225,54.6,79.46
2.22,1012650,13.828,5.012,0.1401,141900,1,30.991,0.674,1.039,-0.656,2.876,1.0,0.051,1.341,14.121,0.404,551369,13.22,0.818,5,0.0174,6.05,-1.0,16.821,21,1,34771.796875,34000,2021-06-30,1,0.0,1,0.0,1,0.0,1,0.0,5.85,96.53
0.656,2345275,14.668,11.607,0.183,429275,1,0.619,0.674,1.039,-0.656,0.0,9.71,0.494,2.155,15.436,0.404,2598402,14.77,3.853,2,0.2038,70.85,-1.0,16.821,21,0,34771.796875,35000,2021-06-30,1,0.0,1,0.0,0,0.609,0,2.217,70.45,99.42
1.971,891225,13.7,4.9,-0.1362,-121425,0,53.847,0.543,0.89,-0.047,2.018,1.0,0.372,1.385,14.026,0.391,697357,13.455,0.527,4,0.0006,0.2,-0.7174,16.716,21,1,34683.59765625,34000,2021-07-01,1,0.0,1,0.0,1,0.0,1,0.0,-54.85,-26119.05
0.912,1563150,14.262,8.594,-0.5004,-782125,0,0.203,0.543,0.89,-0.047,0.865,1.0,0.372,2.574,15.208,0.391,5388495,15.5,4.072,6,0.0012,0.4,-0.7174,16.716,21,0,34683.59765625,35000,2021-07-01,1,0.0,0,0.61,0,1.669,0,2.223,-199.75,-48719.51
