date,spot,next_spot,return_pct,actual_up,p_oi,oi_action,oi_conviction,oi_participated,oi_correct,year
2021-06-25,15860.349609375,15814.7001953125,-0.288,False,0.2083,BUY_PE,high,True,True,2021
2021-06-28,15814.7001953125,15748.4501953125,-0.419,False,0.1647,BUY_PE,high,True,True,2021
2021-06-29,15748.4501953125,15721.5,-0.171,False,0.1106,BUY_PE,high,True,True,2021
2021-06-30,15721.5,15680.0,-0.264,False,0.1973,BUY_PE,high,True,True,2021
2021-07-01,15680.0,15722.2001953125,0.269,True,0.3787,SMALL_PE,moderate,True,False,2021
2021-07-02,15722.2001953125,15834.349609375,0.713,True,0.2236,BUY_PE,high,True,False,2021
2021-07-05,15834.349609375,15818.25,-0.102,False,0.5629,SMALL_CE,moderate,True,False,2021
2021-07-06,15818.25,15879.650390625,0.388,True,0.1728,BUY_PE,high,True,False,2021
2021-07-07,15879.650390625,15727.900390625,-0.956,False,0.53,NO_TRADE,none,False,,2021
2021-07-08,15727.900390625,15689.7998046875,-0.242,False,0.1075,BUY_PE,high,True,True,2021
2021-07-09,15689.7998046875,15692.599609375,0.018,False,0.1439,BUY_PE,high,True,False,2021
2021-07-12,15692.599609375,15812.349609375,0.763,True,0.0885,BUY_PE,high,True,False,2021
2021-07-13,15812.349609375,15853.9501953125,0.263,True,0.5366,NO_TRADE,none,False,,2021
2021-07-14,15853.9501953125,15924.2001953125,0.443,True,0.5892,SMALL_CE,moderate,True,True,2021
2021-07-15,15924.2001953125,15923.400390625,-0.005,False,0.6259,SMALL_CE,moderate,True,False,2021
2021-07-16,15923.400390625,15752.400390625,-1.074,False,0.2747,BUY_PE,high,True,True,2021
2021-07-19,15752.400390625,15632.099609375,-0.764,False,0.116,BUY_PE,high,True,True,2021
2021-07-20,15632.099609375,15824.0498046875,1.228,True,0.0724,BUY_PE,high,True,False,2021
2021-07-22,15824.0498046875,15856.0498046875,0.202,True,0.6658,SMALL_CE,moderate,True,True,2021
2021-07-23,15856.0498046875,15824.4501953125,-0.199,False,0.2592,BUY_PE,high,True,True,2021
2021-07-26,15824.4501953125,15746.4501953125,-0.493,False,0.3218,SMALL_PE,moderate,True,True,2021
2021-07-27,15746.4501953125,15709.400390625,-0.235,False,0.0773,BUY_PE,high,True,True,2021
2021-07-28,15709.400390625,15778.4501953125,0.44,True,0.4442,SMALL_PE,moderate,True,False,2021
2021-07-29,15778.4501953125,15763.0498046875,-0.098,False,0.559,SMALL_CE,moderate,True,False,2021
2021-07-30,15763.0498046875,15885.150390625,0.775,True,0.1196,BUY_PE,high,True,False,2021
2021-08-02,15885.150390625,16130.75,1.546,True,0.4665,NO_TRADE,none,False,,2021
2021-08-03,16130.75,16258.7998046875,0.794,True,0.5647,SMALL_CE,moderate,True,True,2021
2021-08-04,16258.7998046875,16294.599609375,0.22,True,0.4513,NO_TRADE,none,False,,2021
2021-08-05,16294.599609375,16238.2001953125,-0.346,False,0.2221,BUY_PE,high,True,True,2021
2021-08-06,16238.2001953125,16258.25,0.123,True,0.1872,BUY_PE,high,True,False,2021
2021-08-09,16258.25,16280.099609375,0.134,True,0.2395,BUY_PE,high,True,False,2021
2021-08-10,16280.099609375,16282.25,0.013,False,0.1802,BUY_PE,high,True,False,2021
2021-08-11,16282.25,16364.400390625,0.505,True,0.126,BUY_PE,high,True,False,2021
2021-08-12,16364.400390625,16529.099609375,1.006,True,0.7973,BUY_CE,high,True,True,2021
2021-08-13,16529.099609375,16563.05078125,0.205,True,0.5922,SMALL_CE,moderate,True,True,2021
2021-08-16,16563.05078125,16614.599609375,0.311,True,0.3853,SMALL_PE,moderate,True,False,2021
2021-08-17,16614.599609375,16568.849609375,-0.275,False,0.6194,SMALL_CE,moderate,True,False,2021
2021-08-18,16568.849609375,16450.5,-0.714,False,0.176,BUY_PE,high,True,True,2021
2021-08-20,16450.5,16496.44921875,0.279,True,0.1837,BUY_PE,high,True,False,2021
2021-08-23,16496.44921875,16624.599609375,0.777,True,0.2671,BUY_PE,high,True,False,2021
2021-08-24,16624.599609375,16634.650390625,0.06,True,0.6347,SMALL_CE,moderate,True,True,2021
2021-08-25,16634.650390625,16636.900390625,0.014,False,0.1588,BUY_PE,high,True,False,2021
2021-08-26,16636.900390625,16705.19921875,0.411,True,0.5339,NO_TRADE,none,False,,2021
2021-08-27,16705.19921875,16931.05078125,1.352,True,0.5666,SMALL_CE,moderate,True,True,2021
2021-08-30,16931.05078125,17132.19921875,1.188,True,0.5475,NO_TRADE,none,False,,2021
2021-08-31,17132.19921875,17076.25,-0.327,False,0.5612,SMALL_CE,moderate,True,False,2021
2021-09-01,17076.25,17234.150390625,0.925,True,0.0868,BUY_PE,high,True,False,2021
2021-09-02,17234.150390625,17323.599609375,0.519,True,0.5813,SMALL_CE,moderate,True,True,2021
2021-09-03,17323.599609375,17377.80078125,0.313,True,0.536,NO_TRADE,none,False,,2021
2021-09-06,17377.80078125,17362.099609375,-0.09,False,0.2802,BUY_PE,high,True,True,2021
2021-09-07,17362.099609375,17353.5,-0.05,False,0.1713,BUY_PE,high,True,False,2021
2021-09-08,17353.5,17369.25,0.091,True,0.3844,SMALL_PE,moderate,True,False,2021
2021-09-09,17369.25,17355.30078125,-0.08,False,0.6274,SMALL_CE,moderate,True,False,2021
2021-09-13,17355.30078125,17380.0,0.142,True,0.2663,BUY_PE,high,True,False,2021
2021-09-14,17380.0,17519.44921875,0.802,True,0.0757,BUY_PE,high,True,False,2021
2021-09-15,17519.44921875,17629.5,0.628,True,0.6437,SMALL_CE,moderate,True,True,2021
2021-09-16,17629.5,17585.150390625,-0.252,False,0.6841,BUY_CE,high,True,False,2021
2021-09-17,17585.150390625,17396.900390625,-1.071,False,0.1466,BUY_PE,high,True,True,2021
2021-09-20,17396.900390625,17562.0,0.949,True,0.162,BUY_PE,high,True,False,2021
2021-09-21,17562.0,17546.650390625,-0.087,False,0.482,NO_TRADE,none,False,,2021
2021-09-22,17546.650390625,17822.94921875,1.575,True,0.3977,SMALL_PE,moderate,True,False,2021
2021-09-23,17822.94921875,17853.19921875,0.17,True,0.6361,SMALL_CE,moderate,True,True,2021
2021-09-24,17853.19921875,17855.099609375,0.011,False,0.2486,BUY_PE,high,True,False,2021
2021-09-27,17855.099609375,17748.599609375,-0.596,False,0.1981,BUY_PE,high,True,True,2021
2021-09-28,17748.599609375,17711.30078125,-0.21,False,0.14,BUY_PE,high,True,True,2021
2021-09-29,17711.30078125,17618.150390625,-0.526,False,0.2023,BUY_PE,high,True,True,2021
2021-09-30,17618.150390625,17532.05078125,-0.489,False,0.5096,NO_TRADE,none,False,,2021
2021-10-01,17532.05078125,17691.25,0.908,True,0.0927,BUY_PE,high,True,False,2021
2021-10-04,17691.25,17822.30078125,0.741,True,0.5287,NO_TRADE,none,False,,2021
2021-10-05,17822.30078125,17646.0,-0.989,False,0.577,SMALL_CE,moderate,True,False,2021
