date,next_date,type,strike,spot,next_spot,dist_pct,entry_prem,exit_prem,pnl_per_unit,wall_held,wall_oi,oi_building,breach_amt,year,month
2021-06-25,2021-06-28,put,35000,35364.2,35359.0,1.03,188.7,145.35,43.35,True,1114050.0,True,0.0,2021,2021-06
2021-06-25,2021-06-28,call,36000,35364.2,35359.0,1.8,97.05,81.75,15.3,True,1086475.0,True,0.0,2021,2021-06
2021-06-28,2021-06-29,put,35000,35359.0,35009.9,1.01,145.35,189.45,-44.1,True,1291925.0,True,0.0,2021,2021-06
2021-06-29,2021-06-30,put,34500,35009.9,34771.8,1.46,46.6,39.6,7.0,True,1114800.0,True,0.0,2021,2021-06
2021-06-29,2021-06-30,call,35500,35009.9,34771.8,1.4,68.7,14.1,54.6,True,1934950.0,True,0.0,2021,2021-06
2021-06-30,2021-07-01,put,34000,34771.8,34683.6,2.22,6.05,0.2,5.85,True,1012650.0,True,0.0,2021,2021-06
2021-06-30,2021-07-01,call,35000,34771.8,34683.6,0.66,70.85,0.4,70.45,True,2345275.0,True,0.0,2021,2021-06
2021-07-02,2021-07-05,put,34500,34809.5,35211.6,0.89,144.5,37.2,107.3,True,839550.0,False,0.0,2021,2021-07
2021-07-02,2021-07-05,call,35000,34809.5,35211.6,0.55,200.15,336.8,-136.65,False,1135325.0,True,211.6,2021,2021-07
2021-07-05,2021-07-06,put,35000,35211.6,35578.7,0.6,122.4,50.1,72.3,True,1521725.0,True,0.0,2021,2021-07
2021-07-05,2021-07-06,call,36000,35211.6,35578.7,2.24,17.3,48.65,-31.35,True,1504450.0,True,0.0,2021,2021-07
2021-07-06,2021-07-07,put,35000,35578.7,35770.9,1.63,50.1,19.15,30.95,True,1550550.0,True,0.0,2021,2021-07
2021-07-06,2021-07-07,call,36000,35578.7,35770.9,1.18,48.65,48.1,0.55,True,1803225.0,True,0.0,2021,2021-07
2021-07-07,2021-07-08,put,35000,35770.9,35273.7,2.15,19.15,0.7,18.45,True,1849175.0,True,0.0,2021,2021-07
2021-07-07,2021-07-08,call,36000,35770.9,35273.7,0.64,48.1,0.35,47.75,True,1696300.0,False,0.0,2021,2021-07
2021-07-08,2021-07-09,put,35000,35273.7,35071.5,0.78,0.7,214.2,-213.5,True,1014625.0,False,0.0,2021,2021-07
2021-07-09,2021-07-12,put,34500,35071.5,35198.5,1.63,86.05,37.65,48.4,True,863225.0,True,0.0,2021,2021-07
2021-07-09,2021-07-12,call,36000,35071.5,35198.5,2.65,55.05,32.6,22.45,True,1373800.0,True,0.0,2021,2021-07
2021-07-12,2021-07-13,put,35000,35198.5,35673.0,0.56,135.85,37.3,98.55,True,1505050.0,True,0.0,2021,2021-07
2021-07-12,2021-07-13,call,36000,35198.5,35673.0,2.28,32.6,59.45,-26.85,True,1533900.0,True,0.0,2021,2021-07
2021-07-13,2021-07-14,call,36000,35673.0,35667.8,0.92,59.45,28.85,30.6,True,1682625.0,True,0.0,2021,2021-07
2021-07-14,2021-07-15,call,36000,35667.8,35907.2,0.93,28.85,1.45,27.4,True,1733800.0,True,0.0,2021,2021-07
2021-07-16,2021-07-19,put,35500,35751.4,35078.8,0.7,144.25,472.2,-327.95,False,1447200.0,True,421.2,2021,2021-07
2021-07-16,2021-07-19,call,36000,35751.4,35078.8,0.69,173.15,32.5,140.65,True,1671900.0,True,0.0,2021,2021-07
2021-07-19,2021-07-20,put,34500,35078.8,34415.1,1.65,47.7,205.3,-157.6,False,1087550.0,True,84.9,2021,2021-07
2021-07-19,2021-07-20,call,36000,35078.8,34415.1,2.63,32.5,,,True,1879800.0,True,0.0,2021,2021-07
2021-07-20,2021-07-22,put,33500,34415.1,34676.9,2.66,10.95,,,True,1063250.0,True,0.0,2021,2021-07
2021-07-20,2021-07-22,call,35000,34415.1,34676.9,1.7,33.45,0.5,32.95,True,1807275.0,True,0.0,2021,2021-07
