Date,Close,ema_5,ema_9,ema_20,ema_50,ema_100,ema_200,price_vs_ema9,price_vs_ema20,price_vs_ema50,price_vs_ema200,ema9_vs_21,ema20_vs_50,ema50_vs_200,hh_10,ll_10,adx,plus_di,minus_di,di_diff,rsi_7,rsi_14,rsi_21,macd,macd_signal,macd_hist,macd_cross,roc_5,roc_10,roc_20,roc_60,stoch_k_14,stoch_d_14,stoch_k_21,stoch_d_21,williams_r,cci,atr_7,atr_pct_7,atr_14,atr_pct_14,atr_21,atr_pct_21,hv_10,hv_20,hv_60,bb_upper_20,bb_lower_20,bb_width_20,bb_pct_20,bb_position_20,kc_upper,kc_lower,kc_pct,vol_regime,volume_ratio_5,volume_ratio_10,volume_ratio_20,obv,obv_trend,vwap_dev,vpt,force_index,ad,body_size,upper_wick,lower_wick,is_bullish,gap_pct,gap_up,gap_down,inside_bar,outside_bar,doji,return_1d,return_2d,return_3d,return_5d,return_10d,return_20d,dist_from_high_20,dist_from_low_20,dist_from_high_52,dist_from_low_52,day_of_week,week_of_year,month,quarter,year,is_monday,is_friday,is_month_start,is_month_end,results_season,iv_proxy_5d,iv_proxy_10d,iv_proxy_20d,iv_percentile,iv_regime,vol_of_vol,iv_zscore,trend_regime,momentum_regime,regime_score
2014-02-07,59.40612411499024,58.57360734339855,59.17756495962279,60.303365976914016,61.01058245302634,61.22930428799655,61.33104634527805,0.386226022519498,-1.4878802325350549,-2.629803344807291,-3.1385771888693847,-1.8668958175936945,-1.1591701761851314,-0.522514959956133,0,0,33.97385073462813,17.400210152354536,51.53549431849122,-34.135284166136685,40.46407110351246,34.6758480316868,42.70762969819788,-0.9709886925706641,-0.6115973356447427,-0.3593913569259214,0,0.796190382000006,-6.314738908722939,-3.53056871149815,,29.19836135088434,17.347583336169965,29.19836135088434,17.347583336169965,-70.80163864911566,-71.39145587924105,2.057963081581564,3.4642271520660746,2.1830950729030887,3.674865353405908,2.1391505409648297,3.6008922864992083,38.744068140806995,33.88935019439142,,66.6847264643012,55.78446680352105,17.80081891605652,-0.33549155264619096,0,64.6695561227202,55.93717583110784,-0.20549766088075552,4.0,1.1156648585961395,0.9992685569677126,1.0550303352157748,-21806164.0,76.12137380309736,-3.1277869675120797,-263184.5924094662,10857381.284294128,-3301257.5505356886,2.8432169908130027,0.5957249606692446,0.24370266077260833,1,0.709033218533674,1,0,0,0,0,3.572409562286527,2.8154052253444695,2.871111003657534,0.796190382000006,-6.314738908722939,-3.53056871149815,-10.970454770511965,5.3537182754542005,,,4,6,2,1,2014,0,1,0,0,1,31.396591363587472,38.744068140806995,33.88935019439142,,extreme,,,-2,-1.0,-3.0
2014-02-10,58.79611206054688,58.64777616264416,59.10115614289062,60.151480986065266,60.884094333087454,61.11982766820189,61.23085009921469,-0.516138942538158,-2.253259443158795,-3.429438009075969,-3.976325716077289,-1.7461329728821862,-1.2032918532288162,-0.5663089203650995,0,0,37.039602300065546,12.891641276650583,44.68430704907674,-31.79266577242616,52.50849514761092,29.032269960550693,43.65198413602702,-0.9487442669782098,-0.6791312255443304,-0.26961304143387943,0,1.2661880524272418,-3.6400840497421316,-4.058165730801477,,24.444675744037937,21.0076447547039,23.298252392977542,20.625503637683767,-75.55532425596206,-55.45781877530162,1.894847246561309,3.222742423189545,2.1752745457811145,3.6996911352591937,2.1182954661616122,3.6027815308268005,34.7357572956426,34.01336445590337,,66.668138783402,55.552357585006206,18.189716992949513,-0.41636949888707636,0,64.5020300776275,55.80093189450304,-0.3115397383165001,4.0,0.9954102700759736,0.8416873870690218,0.8302816672640064,-26005481.0,105.03812280454147,-3.9808771499972146,-306305.298036894,-2561633.9904289246,-5753207.167927802,1.6483563865336166,1.439037107361667,0.8110952392739396,0,0.6319222647806756,1,0,0,0,0,-1.0268504527623845,2.508875805759292,1.7596447712785457,1.2661880524272418,-3.6400840497421316,-4.058165730801477,-11.884655058793253,4.271893142340696,,,0,7,2,1,2014,1,0,0,0,1,30.004703383406174,34.7357572956426,34.01336445590337,,extreme,,,-3,-1.0,-4.0
2014-02-11,59.062007904052734,58.78585412987008,59.09331679047481,60.04229940716165,60.781849270301606,61.029515244077594,61.147586664563484,-0.05298211053728075,-1.6326681569293622,-2.8295311625031405,-3.4107294731868687,-1.580523441068693,-1.2167281384465989,-0.5981223695191717,0,0,40.0464073481511,12.878413488555667,44.58718073256876,-31.708767244013096,51.369886468513464,27.794849705749982,44.928588015203765,-0.9010553924362128,-0.7235710727889507,-0.17748431964726208,0,2.2752192928132464,-5.5527610050524085,-1.9475283229781093,,27.229436891366692,26.957491328762988,25.87002853528774,26.122214093049877,-72.77056310863331,-60.519223079314465,1.868033105761444,3.1628337268792093,2.1775088326958363,3.6868181593711435,2.1123367002895668,3.5764728888342145,31.43058898047062,33.59091508310769,,66.67277149477046,55.43041530332525,18.4145172394805,-0.3539445755168441,0,64.39731707255332,55.68728174176998,-0.2250947248501579,4.0,0.8493659799721671,0.6929985163922746,0.6850824046700368,-22544290.0,78.44762497193736,-3.44287525692586,-290652.62529669376,920316.3004798644,-4501288.453494604,0.1325908225688942,0.7955449354133652,1.5645700877726345,1,0.31921963930695496,0,0,0,0,0,0.4522337178214153,-0.5792604989199646,2.972455505912608,2.2752192928132464,-5.5527610050524085,-1.9475283229781093,-11.486167758394474,4.7434458013410685,,,1,7,2,1,2014,0,0,0,0,1,29.142486486019152,31.43058898047062,33.59091508310769,,extreme,,,-3,-1.0,-4.0
2014-02-12,58.65532302856445,58.74234361149388,59.00563119848859,59.90399187384533,60.66450376124751,60.927768658088176,61.054552773388444,-0.5936859970970154,-2.084450144675676,-3.3119544513055432,-3.929649200329144,-1.4996674633113605,-1.2536357181709867,-0.6388532786222312,0,0,42.92951230048893,12.797150255371099,42.842907436729924,-30.045757181358823,57.2518735787005,27.966927355404067,46.28403793613855,-0.8831130696971314,-0.7555111040454255,-0.1276019656517059,0,1.5159782875581396,-3.150819610796596,-4.918863934304585,,26.315856481144362,25.996656372182997,21.93652417347121,23.70160170057883,-73.68414351885563,-57.990461042182844,1.821108709898019,3.104762902782345,2.208791523828199,3.7657136808411122,2.078074504457314,3.5428574887317836,27.967892560660857,32.31973588215173,,66.61160051922081,55.1881427516532,18.757769861899718,-0.3929718396202352,0,64.32157492150172,55.48640882618893,-0.2826588276463336,4.0,0.7644102224942125,0.6628787891114357,0.6101547530071204,-25599791.0,97.92771929169952,-3.978836276576191,-311691.9717028977,-1242626.0437393188,-5137852.780694742,1.3157894736842197,0.21052310341282682,0.9999967876233562,0,0.6355796417144135,1,0,0,1,0,-0.6885727219923643,-0.239452962191522,-1.2638445911274943,1.5159782875581396,-3.150819610796596,-4.918863934304585,-12.095649862400254,4.0222110054781774,,,2,7,2,1,2014,0,0,0,0,1,30.25662319972784,27.967892560660857,32.31973588215173,,extreme,,,-3,-1.0,-4.0
2014-02-13,59.07765579223633,58.854114597473064,59.02004753903985,59.821958246428,60.57831476324243,60.850268257503565,60.982723638935035,0.09760794102777748,-1.2441960711577216,-2.47722138998272,-3.1239468049642727,-1.3404955820482956,-1.2485598514427099,-0.6631531875929575,0,0,44.21022014686794,14.567797879449396,37.140070757789346,-22.57227287833995,65.79950389126225,34.135199630346236,43.54218792291898,-0.8277899085161806,-0.7699783270545334,-0.05781158146164722,0,2.9997370279422064,0.8814294852503402,-5.622167708812098,,37.14936279186234,30.231552054791127,26.021376766149494,24.609309824969483,-62.85063720813766,-43.07685830285466,1.7429017060249754,2.950187651579124,2.0937149498966354,3.5440047879688894,2.057963812083908,3.483489289624716,22.67765064387899,31.902399438435513,,66.43233687208541,55.01547578050247,18.801262603620334,-0.28838934289413554,0,64.00938814622127,55.634528346634724,-0.17774684520173437,4.0,1.212868321800744,1.2021317944514307,1.0180877248616427,-20470885.0,55.03289505098608,-3.037801174815712,-274762.5860350637,2166105.0455932617,-5953794.886840542,0.1856796305122789,1.3527786700099436,0.7957559681697606,1,0.5333546532968301,1,0,0,0,0,0.7200246147586631,0.026493999677446034,0.47884753229858745,2.9997370279422064,0.8814294852503402,-5.622167708812098,-11.46271690396589,4.771196529533823,,,3,7,2,1,2014,0,0,0,0,1,28.81381742779709,22.67765064387899,31.902399438435513,,extreme,,,-2,-2.0,-4.0
2014-02-14,59.31227493286133,59.006834945254674,59.07853008552173,59.77156336785212,60.51057315210836,60.78723466399429,60.92358928564974,0.3956510884770337,-0.7684062606229447,-1.98031212865033,-2.6448119220840893,-1.1594698938444226,-1.221290339456138,-0.6779248208848787,0,0,44.79411337289007,15.041349051003698,35.20689148514244,-20.165542434138743,67.37606439929228,42.585040108171775,41.600029344159964,-0.7576118590589331,-0.767503464825118,0.009891605766184863,1,-0.15797896854413684,0.6369536001027409,-5.483548630722234,,40.38907291050064,34.61809739450245,28.290640927758766,25.416180622459823,-59.61092708949936,-46.86027968956398,1.789826156636509,3.0176319466122434,2.027797912531018,3.4188503388655866,2.065412123171668,3.482267583749934,22.54645132867254,31.93846413056493,,66.20993664125425,54.89376475950259,18.68839969523993,-0.21908040642543006,0,63.82715919291415,55.71596754279008,-0.11324807865531414,4.0,0.8845184754294175,0.7920121975157316,0.6874194158258244,-17065422.0,25.866656982094447,-2.3968285819917026,-261238.2375859632,798986.8024902344,-3363310.0817928943,0.530222676372106,0.3711542553492758,2.2004289612777748,1,-0.1323838980119067,0,0,0,0,0,0.3971368489130711,1.1200209467381983,0.42373606602599256,-0.15797896854413684,0.6369536001027409,-5.483548630722234,-11.11110272776505,5.1872815579997384,,,4,7,2,1,2014,0,1,0,0,1,12.309035126576404,22.54645132867254,31.93846413056493,,extreme,,,-2,-2.0,-4.0
2014-02-17,59.030723571777344,59.014797828965136,59.06896393215683,59.69857834995347,60.4325069324849,60.716738542809175,60.85824433882169,-0.06473849858514846,-1.1187113606979993,-2.3195849913584143,-3.0029140454164605,-1.0546556303331789,-1.2144599318895888,-0.6995558464791496,0,0,46.196870883328536,15.111664120275186,39.32481410790373,-24.21314998762854,69.5969583379489,32.926909970458766,40.540523773686125,-0.7149668650541017,-0.7569908143238275,0.04202394926972586,0,0.3990255528951714,1.6702660191993068,-8.17518038538707,,36.5013048836026,38.01324686198853,25.567442762177738,26.62648681869533,-63.4986951163974,-34.74035872497167,1.7317293141854901,2.9336067888102795,1.951825109629962,3.3064563527781856,2.049025777995615,3.4711175029120875,21.114819632027093,30.298137349380838,,65.69965601457889,54.87849378095334,17.948794623197152,-0.23257230578774318,0,63.602228569213395,55.79492813069355,-0.17108468757806478,4.0,0.7328896115972848,0.6674667280978341,0.5335346746756023,-19650489.0,37.610733879949734,-2.5773044787534634,-273509.3759492642,-727829.1323432922,-4092436.730057688,0.684212132504107,0.6315773411801043,0.7368388928865169,0,0.21096231978320173,0,0,0,0,0,-0.47469324250787315,-0.07944157538010144,0.6400110404814807,0.3990255528951714,1.6702660191993068,-8.17518038538707,-11.533052316456114,4.687964640466182,,,0,8,2,1,2014,1,0,0,0,1,9.872700709015009,21.114819632027093,30.298137349380838,,extreme,,,-3,-2.0,-5.0
2014-02-18,59.2027587890625,59.077451525359066,59.095733762671316,59.64989151260214,60.36850072551267,60.65718702936805,60.802464745072356,0.1811044885591917,-0.7495951999261785,-1.9310433793123916,-2.630988665865719,-0.9290171966427563,-1.1903711443455367,-0.7137276776182921,0,0,47.854326391528524,13.003665577303716,42.55222457516637,-29.548558997862656,45.75106201531836,41.95927898605439,36.12290615422168,-0.6605003287872506,-0.7376848858015108,0.07718455701426019,0,0.2383103622863869,2.5189517384391458,-9.341347615354657,,66.17592204804843,47.688766614050564,27.231387792749,27.029823827561838,-33.824077951951566,-30.01733071754122,1.602128024589015,2.706171228096557,1.8300455530852895,3.09114911284064,1.9894393901317307,3.3603829125937157,20.738435052560007,29.510323853643563,,64.86656015368158,55.10157224683112,16.279303030658376,-0.16002219739478382,0,63.309982618772715,55.98980040643156,-0.12216436983926816,3.0,1.2964234604888942,1.2557929601429358,1.0833840913018322,-14688604.0,-3.7846284414613796,-1.2645153608782111,-259048.78809824458,853618.9641189575,-3413448.316361402,1.2032085561497354,1.0962583164480286,0.24064007927389297,1,-0.9009350747708093,0,1,0,1,0,0.2914333534739244,-0.1846433034693007,0.2117602588466383,0.2383103622863869,2.5189517384391458,-9.341347615354657,-10.625767157887893,4.993060286501494,,,1,8,2,1,2014,0,0,0,0,1,9.55282505215677,20.738435052560007,29.510323853643563,,extreme,,,-2,-2.0,-4.0
2014-02-19,58.2330207824707,58.79597448219122,58.92313515518073,59.511172494061256,60.2587610256973,60.5636606574695,60.71789832902414,-1.171211224407076,-2.14775084748684,-3.3617356360226447,-4.0924959771962754,-0.9881125076794728,-1.2406304393102752,-0.7561811524483653,0,0,47.82456681186884,13.994741107059161,33.180288972070265,-19.185547865011102,39.77260287260341,47.78955442974801,30.650661297856402,-0.6832150683937002,-0.7267873858790354,0.04357231748533519,0,-0.7199725860994599,0.7850910733770311,-11.546668125298487,,43.382671829722355,48.686632920457804,18.730397939165393,23.843076164697376,-56.617328170277645,-43.630618500706646,1.5060445858069502,2.5862381267026757,1.7004459161841297,2.9200716248881213,1.952197892456393,3.3523898747221494,22.834782723639872,29.375383328335293,,63.68682040540788,55.52114010484603,13.699890956291386,-0.335785733017719,0,62.912064326429515,56.110280661693,-0.37582839284261915,3.0,1.191956196696206,1.224696077510636,1.0838831856447777,-19722220.0,18.151704053328068,-2.392681164270338,-341499.14760227466,-4881288.745788574,-7117436.46361728,1.6899984704948128,0.7393682869590161,0.36968414347950806,0,0.05289781819284482,0,0,0,0,0,-1.6379946246203536,-1.3513349338106773,-1.8196134807041076,-0.7199725860994599,0.7850910733770311,-11.546668125298487,-12.04817918561203,3.2732796027841946,,,2,8,2,1,2014,0,0,0,0,1,14.997623894636384,22.834782723639872,29.375383328335293,,extreme,,,-3,-3.0,-6.0
2014-02-20,57.95146179199219,58.51447016620206,58.72875001727598,59.35887489319859,60.14161773860224,60.46473749336273,60.62889219328376,-1.323522508235131,-2.371023884362178,-3.641664506148279,-4.41609652499666,-1.061551245801684,-1.3014994854407491,-0.8037000793748583,0,1,47.317851339967014,14.421124211929378,31.347645518548106,-16.926521306618728,29.943327670233998,43.28355104418002,28.12495368941356,-0.714393343927334,-0.7243079337861296,0.009914589858795564,0,-1.9062943259034015,1.0362588852831145,-11.299987960511881,,36.764755982790355,48.77444995352038,15.923671654925023,20.62848579561314,-63.235244017209645,-77.26786814391214,1.4323060375443768,2.471561533142025,1.6501695716529103,2.847502928529981,1.9291079009786831,3.3288338918920073,22.61930059531627,29.371192789814888,,62.35861955270085,56.11106504812923,10.547094010796163,-0.41084251685479245,0,62.65921403650441,56.05853574989277,-0.42644499249754403,3.0,0.9103624093398485,0.8745829448306246,0.7592623812925091,-23280746.0,28.191207313706144,-2.4819156309331487,-358704.7635000703,-1001934.9881515503,-7409120.090040593,0.18858086853747366,0.7004244343848298,0.7543070314898359,0,-0.2954803606373395,0,0,0,0,0,-0.48350400974436214,-2.1135788646752807,-1.8283051849649956,-1.9062943259034015,1.0362588852831145,-11.299987960511881,-10.851787209135122,2.773949154910223,,,3,8,2,1,2014,0,0,0,0,1,12.93792642610782,22.61930059531627,29.371192789814888,,extreme,,,-3,-3.0,-6.0
