Date,Close,ema_5,ema_9,ema_20,ema_50,ema_100,ema_200,price_vs_ema9,price_vs_ema20,price_vs_ema50,price_vs_ema200,ema9_vs_21,ema20_vs_50,ema50_vs_200,hh_10,ll_10,adx,plus_di,minus_di,di_diff,rsi_7,rsi_14,rsi_21,macd,macd_signal,macd_hist,macd_cross,roc_5,roc_10,roc_20,roc_60,stoch_k_14,stoch_d_14,stoch_k_21,stoch_d_21,williams_r,cci,atr_7,atr_pct_7,atr_14,atr_pct_14,atr_21,atr_pct_21,hv_10,hv_20,hv_60,bb_upper_20,bb_lower_20,bb_width_20,bb_pct_20,bb_position_20,kc_upper,kc_lower,kc_pct,vol_regime,volume_ratio_5,volume_ratio_10,volume_ratio_20,obv,obv_trend,vwap_dev,vpt,force_index,ad,body_size,upper_wick,lower_wick,is_bullish,gap_pct,gap_up,gap_down,inside_bar,outside_bar,doji,return_1d,return_2d,return_3d,return_5d,return_10d,return_20d,dist_from_high_20,dist_from_low_20,dist_from_high_52,dist_from_low_52,day_of_week,week_of_year,month,quarter,year,is_monday,is_friday,is_month_start,is_month_end,results_season,iv_proxy_5d,iv_proxy_10d,iv_proxy_20d,iv_percentile,iv_regime,vol_of_vol,iv_zscore,trend_regime,momentum_regime,regime_score
2014-02-07,146.56158447265625,145.2714786663589,145.54662941362682,146.9735193450872,148.14633257302611,148.5477625187025,148.74100479097046,0.6973401329309015,-0.28027829384947855,-1.069718077285975,-1.4652451228072683,-0.9708483118718192,-0.7916586307398443,-0.39980381924947794,0,0,49.96705409679054,14.084500002590728,47.09673054139703,-33.0122305388063,52.8606034578207,36.989440401892686,44.00623541068668,-1.3921247206840803,-1.215799217099916,-0.17632550358416443,0,3.0628411152177515,-3.809047781618158,-2.1599744201626803,,45.58160227618041,40.157044048214495,45.381122232854736,39.98042265869339,-54.41839772381959,-31.023124039379457,3.355152018100049,2.2892438220917395,3.2703042602469674,2.2313516000893827,3.2743453668665445,2.234108875561067,24.112601439291794,20.32461581633469,,157.2506870734737,139.8004313957646,11.748991734239981,-0.22509409583856993,0,153.51412786558114,140.43291082459325,-0.06298112341385614,3.0,0.5506555169028466,0.3872211303429637,0.40679918831332723,-49105184.0,17.122486292057527,-1.1121067414527306,-1120060.1932196536,683772.4857788086,-7491320.921343053,0.7127566278432954,0.3218846577793381,0.8660368183059042,0,0.8346223888771533,1,0,0,0,0,0.11591693463968156,1.6157920851260998,2.719630951685814,3.0628411152177515,-3.809047781618158,-2.1599744201626803,-5.437975827126222,5.017830824068635,,,4,6,2,1,2014,0,1,0,0,1,11.565722089451887,24.112601439291794,20.32461581633469,,high,,,-2,-1.0,-3.0
2014-02-10,145.6905059814453,145.41115553069653,145.5754493238415,146.844230928,148.00605845171933,148.41920597308467,148.62043025332812,0.07903575646732719,-0.7856794504377707,-1.564498436413242,-1.9714142038807614,-0.8640323124308513,-0.7849864633063808,-0.41338314023285916,0,0,51.81701608274921,12.71065372901715,47.08720225933134,-34.376548530314196,69.90159235810088,30.71857259504604,43.00576412314121,-1.299747389185626,-1.2326148724834156,-0.06713251670221032,0,2.7773427202423706,-0.8163766046486831,-4.302577503304517,,39.91172374825155,43.32346367700739,39.73618134283608,43.13291552948157,-60.08827625174844,-44.79891747897848,3.2371740651597065,2.221952654603302,3.356769510731411,2.30404135679158,3.2285541216132367,2.216036041514205,16.365852262964662,19.318837591695647,,156.82720817185347,139.5688825263887,11.645447552839222,-0.29058895042170185,0,153.55776994946282,140.13069190653718,-0.17185048643737572,2.0,0.8244294328035972,0.6733187014981701,0.6292327408364417,-55386004.0,23.822284411123817,-1.5950254098313161,-1157389.806084123,-5471087.2091674805,-6758918.910076434,0.5790164222401967,0.38601094816012466,1.2197983658241467,0,-0.015415819607002564,0,0,0,0,0,-0.594342981720053,-0.4791149912460324,1.0118457565489125,2.7773427202423706,-0.8163766046486831,-4.302577503304517,-5.999998581170117,4.393664717011146,,,0,7,2,1,2014,1,0,0,0,1,13.03112475787563,16.365852262964662,19.318837591695647,,high,,,-2,-1.0,-3.0
2014-02-11,145.8941192626953,145.57214428093442,145.6392623082607,146.7490154578196,147.88754851084013,148.30838640282283,148.51576518478888,0.1749919289588231,-0.5825566818674965,-1.3479358257119989,-1.7652307274124146,-0.7562252776257217,-0.7698640382405642,-0.4229966247469408,0,0,54.513398840386856,9.975615434524755,46.934250558041356,-36.9586351235166,79.10753682669056,30.63532353233707,38.297820860030754,-1.1977581272784903,-1.2256348826335215,0.027876755355031202,1,2.251829103834835,0.05430023540915485,-4.090440688860786,,43.54589454880403,43.01307352441199,41.05567774720851,42.057660440966444,-56.45410545119597,-39.071766136445284,3.1288920462083922,2.144632053725582,3.3212147228154913,2.276455514176928,3.0971068517886753,2.1228455728308413,15.969877606319177,19.354693998506526,,156.36868909613463,139.40517870171692,11.470594424529434,-0.23495309519027985,0,153.3914449034506,140.10658601218861,-0.12870233731825334,2.0,0.635160332441548,0.5626719292282322,0.4453233594705849,-50921148.0,8.039371239293036,-1.3739356409228802,-1151149.838871815,909103.98046875,-4967317.982470782,0.1857604035652043,0.17802235511803655,0.8513931888544876,0,0.3261236245110241,0,0,1,0,0,0.1397574123848111,-0.45541620770718216,-0.3400271775753416,2.251829103834835,0.05430023540915485,-4.090440688860786,-5.868626611545478,4.539562601513311,,,1,7,2,1,2014,0,0,0,0,1,13.286227785618387,15.969877606319177,19.354693998506526,,high,,,-2,-1.0,-3.0
2014-02-12,146.04119873046875,145.7284963077063,145.71972928333454,146.6784328674377,147.78566363840488,148.21122552260766,148.42339191300042,0.2206080458117876,-0.43444296786621095,-1.1804019855433445,-1.604998478897457,-0.6536090994165411,-0.7492139248880814,-0.4296683065761919,0,0,56.811058836928474,12.675649110079396,47.9398069930454,-35.264157882966,85.55384884012237,29.148719490488787,38.80779443770089,-1.0934671743303,-1.1991751365095522,0.10570796217925227,0,1.2549921553733245,0.0,-5.157584207590005,,49.26915119049296,44.24225649584952,42.00881217779499,40.933557089279866,-50.73084880950704,-20.183894270209503,3.1369708701814267,2.1480040546441757,3.334143816957909,2.283015920124944,3.1127292172895302,2.1314048668104486,15.958369971018696,18.652249564504274,,155.50045378210015,139.47923371789986,10.86259206522502,-0.18084078662252204,0,153.3467205013535,140.01014523352188,-0.09556188514242889,2.0,0.9280762263139404,0.8603606132296135,0.6362798529001197,-44484188.0,-10.030011874273148,-1.1609139559080608,-1144660.5803899546,946744.6508789062,-8871710.595252883,0.17784773002260432,0.958863662407785,0.2783773369829786,0,0.2791566755880198,0,0,0,0,0,0.10081247175468544,0.24071077704137522,-0.35506285228826817,1.2549921553733245,0.0,-5.157584207590005,-5.7737304473359545,4.644951518533423,,,2,7,2,1,2014,0,0,0,0,1,12.097823797051706,15.958369971018696,18.652249564504274,,high,,,-2,-2.0,-4.0
2014-02-13,143.11106872558594,144.85601842475282,145.19758348526335,146.32428662187522,147.531764928835,147.997582235158,148.2303724587108,-1.437017551941,-2.1959566456611124,-2.996436872683983,-3.4536132158413335,-0.7700041890676967,-0.8184531023147756,-0.4712985053521357,0,0,59.082039110292875,12.617543292712655,49.336543856931414,-36.71900056421876,52.67598142114911,26.892508302179536,30.725961384998186,-1.2150183804355947,-1.2023462977475396,-0.012672082688055086,0,-2.241123275851553,0.11077489160808973,-6.024837731516708,,32.640151223679,41.81839898765867,23.020384792061087,35.361624905688195,-67.359848776321,-59.502215718435004,3.0739401127817376,2.1479401559609537,3.3494980857888703,2.3404884860523962,3.152055392273212,2.202523830156874,15.559454338081377,19.454139513994402,,154.9353622402071,139.12682648049605,10.751831664237407,-0.49593785210089364,0,153.02328279345295,139.62529045029748,-0.4796566252600956,2.0,0.6474249264506242,0.47413291770566074,0.31397349216698234,-47639388.0,-7.831716289284152,-3.0303781159541647,-1207965.635893292,-9245146.19140625,-11555985.222118534,2.089783281733736,0.30959752321982503,0.19349845201239307,0,0.08519140220216655,0,0,0,0,0,-2.0063721952122693,-1.9075823968601857,-1.7704909722723317,-2.241123275851553,0.11077489160808973,-6.024837731516708,-7.623808482098927,2.545384307572214,,,3,7,2,1,2014,0,0,0,0,1,14.66694742416315,15.559454338081377,19.454139513994402,,high,,,-3,-2.0,-5.0
2014-02-14,145.21534729003906,144.97579489826177,145.20113849947643,146.21464037392406,147.40782106929294,147.88355425872402,148.1236397210697,0.009785591703659335,-0.6834425617909701,-1.4873524100347701,-1.963422203577514,-0.6931603236555062,-0.8094419188300672,-0.48325753615339195,0,0,59.596694269314455,13.482789751278949,44.36700381027551,-30.884214058996562,55.73120562964806,44.97285509430851,37.64332996985671,-1.1401640312840016,-1.1899019569167704,0.0497379256327688,1,-0.9185470991331601,2.1161603778696803,-3.4887154758464045,,63.77562531030112,48.56164257482436,36.81890020944755,33.94936572643454,-36.22437468969888,-50.73041550000919,3.067475074518041,2.112362867811323,3.1345469213662045,2.1585507178559884,3.150438965236307,2.1694944949199657,16.797512247007436,20.12167221250518,,154.5403456282962,138.9969148087155,10.59043120893067,-0.19986358822532943,0,152.48373421665647,139.94554653119164,-0.15939992428785324,3.0,0.8640991147010195,0.6945845800599031,0.5250374868614346,-43390276.0,-15.829140581690304,-0.9760446610151935,-1145487.4825318253,8941315.299560547,-8508339.116043672,1.2302819862726668,0.32334192318119903,0.7334423366029187,1,0.23718143324349397,0,0,0,0,0,1.4703814199641396,-0.5654920992218537,-0.4652497140299805,-0.9185470991331601,2.1161603778696803,-3.4887154758464045,-6.265526125549221,4.053192585461577,,,4,7,2,1,2014,0,1,0,0,1,20.098897754780356,16.797512247007436,20.12167221250518,,high,,,-2,-1.0,-3.0
2014-02-17,147.1612091064453,145.70426705141955,145.59335149648663,146.30789310717543,147.39481159595908,147.85456353295055,148.09041497782596,1.076874454666643,0.5832330581404754,-0.15848759327711237,-0.6274584830623819,-0.4883821340830652,-0.7374197755095513,-0.46971533030751855,0,0,59.51353608336028,18.298142575720885,48.43948869880559,-30.141346123084706,54.59473252528934,53.84120405240083,44.251988239161136,-0.923591377037809,-1.136612820138489,0.21302144310068005,0,1.0094708060024882,3.8148499901883293,-2.9326069853125025,,89.12500075798266,61.84692576398759,49.48457872461912,36.44128790870925,-10.874999242017333,2.197211742558574,2.770103017973611,1.8823595122610928,3.029496427020415,2.0586243109956417,3.096028334194752,2.103834531527475,17.377084522635432,20.57759582059217,,153.98239065425145,139.11026529057278,10.148412157060934,0.08268907355163728,0,152.36688596121627,140.2489002531346,0.14083462711146663,3.0,0.8312258087083003,0.6078653390391527,0.4565242829665108,-39740156.0,-22.850504487772806,0.4763579803785969,-1096576.4737035732,7102629.133300781,-5929795.227049001,1.3084150177667402,0.24921738098714835,0.1401907187013434,1,0.03116085381759263,0,0,0,0,0,1.3399835848753483,2.8300678745020624,0.7669139843501593,1.0094708060024882,3.8148499901883293,-2.9326069853125025,-5.009499562262311,5.447488285645494,,,0,8,2,1,2014,1,0,0,0,1,22.159840643934785,17.377084522635432,20.57759582059217,,high,,,-1,-1.0,-2.0
2014-02-18,149.42381286621094,146.94411650783087,146.35975466048936,146.61385981457062,147.5004175088001,147.91628904317014,148.13534221535525,2.093511438871487,1.9165671343720048,1.303993161440431,0.8697928742639638,-0.1733159159731823,-0.6010543625590614,-0.42861122609898494,1,0,58.67739242963264,24.059658216076933,49.021021540638394,-24.96136332456146,63.67570657221887,58.64659659929059,46.343295863534564,-0.5742332646345574,-1.0240912648722398,0.4498580002376824,0,2.419352898769067,4.725661695302863,-2.322141543057843,,91.596640614054,81.49908889411259,64.21194095907437,50.17180663104701,-8.403359385946011,66.48848840679035,2.918789070027125,1.9533627298351102,3.136970544063587,2.0993779263766514,3.1531325301736866,2.110194131504927,18.30740197401357,21.120559920241767,,153.3114540976684,139.4259696083863,9.486648009326526,0.44004240767281166,0,152.8878009026978,140.33991872644344,0.447876862751849,3.0,1.1149344162497161,0.870586100208996,0.6326910544924013,-34720484.0,-32.62416363971552,2.142752879437284,-1019399.0109132596,11357528.739990234,-3272321.8152842773,1.8350076197475,0.616808018504237,0.1696184403912894,1,-0.2921465921679573,0,0,0,0,0,1.5375001153524304,2.8980859493909383,4.411080286689506,2.419352898769067,4.725661695302863,-2.322141543057843,-3.549020508458245,7.068743539673532,,,1,8,2,1,2014,0,0,0,0,1,24.028003437343028,18.30740197401357,21.120559920241767,,high,,,1,-1.0,0.0
2014-02-19,151.6072540283203,148.49849639298617,147.4095952267977,147.1027390960664,147.71146280955855,148.0586895754387,148.24961096109612,2.847615716646046,3.06215571506947,2.637433239547926,2.264857928096231,0.2085998755814611,-0.41210323282560024,-0.36300139207703364,1,0,55.9339293231538,28.18384322250803,46.42205520654157,-18.23821198403354,75.11991168902513,73.1958880938593,47.76836198949144,-0.13015103381121662,-0.845245179787176,0.7150941459759593,0,3.811291160465058,5.1141147209206705,-1.041216604248052,,96.03244323869019,92.25136153690896,78.42403124364795,64.04018364244715,-3.967556761309811,130.70486963647804,3.0189902568945803,1.991323090866504,3.1280821610271436,2.063280006669612,3.244176426119134,2.1398556730755907,18.7528486335268,21.834796615833525,,152.9312963354652,139.6466104638512,9.081127154776018,0.8006663733052167,0,153.35890341812066,140.8465747740121,0.7200122471806837,3.0,1.0084274925140497,0.7408582828140935,0.5216224724363757,-30659536.0,-40.70080952201742,3.7888342273335054,-960058.7969921706,8866841.020385742,-247215.574370482,2.1106332411295226,0.335265493158353,0.18287293275035388,1,-0.6359698230101108,0,1,0,0,0,1.461240427631405,3.021207116244251,4.401674380542353,3.811291160465058,5.1141147209206705,-1.041216604248052,-1.6223733474677224,8.633275305632232,,,2,8,2,1,2014,0,0,0,0,1,24.57997350842358,18.7528486335268,21.834796615833525,,high,,,1,-1.0,0.0
2014-02-20,149.95556640625,148.98418654565336,147.91892169139828,147.38130277742096,147.82539760746343,148.1305237150613,148.30449763566315,1.3768655771441818,1.7466690688144881,1.4410032601049005,1.1132964926276134,0.3647809483603659,-0.3004184918357078,-0.3230515836254111,0,0,53.03240914344512,28.47813182586857,48.629571142433065,-20.151439316564495,65.35509201944345,69.80927633595886,44.941846423593084,0.0940286589240884,-0.6573416294942285,0.7513702884183169,0,4.782647311360888,2.434339013412523,-2.465030035646576,,82.86767572010044,90.16558652428154,71.46213335160161,71.36603518477465,-17.13232427989957,131.11672889383212,3.0626220427481274,2.0423530223953597,3.0957570444782596,2.064449569075304,3.235017162793037,2.157317157556483,19.408164240220025,22.086079880372672,,152.02354371215864,140.1753759655757,8.109658830806255,0.6509203194721722,0,153.57281686637748,141.18978868846443,0.41577287749706066,3.0,0.8440345074437956,0.7698159229595626,0.44881003070836434,-34107972.0,-34.80925519887538,2.7763239455883135,-997627.837426329,-5695739.05670166,-1710173.9273551595,0.4580936991421476,0.24782584023951512,0.2853746543854482,0,-0.6342633999884485,0,1,1,0,0,-1.0894515784592884,0.3558693422682113,1.8988409491685232,4.782647311360888,2.434339013412523,-2.465030035646576,-1.8075305467236795,7.4497683730830015,,,3,8,2,1,2014,0,0,0,0,1,18.079847948776965,19.408164240220025,22.086079880372672,,high,,,1,-1.0,0.0
