Date,Open,High,Low,Close,Volume
2014-01-01,1239.9992376500968,1254.5115828947733,1177.1124082564988,1230.3243408203125,13295
2014-01-02,1238.3868172268908,1244.8367091993575,1138.4128420939214,1151.312744140625,8907
2014-01-03,1146.4752498610746,1172.2749348226203,1123.9004517061192,1156.150146484375,6426
2014-01-06,1177.1121441955383,1177.1121441955383,1122.287780492738,1128.7376708984375,4700
2014-01-07,1157.7625870114214,1244.8366564048038,1128.7378972136273,1233.54931640625,23977
2014-01-08,1273.8611720812182,1296.43596709439,1198.0745711472644,1212.5869140625,36259
2014-01-09,1225.4866106865322,1249.6738472007517,1154.5374623126495,1181.9495849609375,18202
2014-01-10,1193.2371785356836,1207.7495221201646,1135.18780419776,1141.6376953125,8735
2014-01-13,1193.237211378063,1193.237211378063,1119.062930059102,1125.512939453125,4803
2014-01-14,1125.5127977645814,1141.6375830162067,1101.3255608362717,1114.225341796875,2664
2014-01-15,1115.8381181179316,1127.1254581600042,1104.5506599740936,1117.4505615234375,2332
2014-01-16,1130.3502783929598,1154.5375160325968,1102.9380363674554,1111.00048828125,3229
2014-01-17,1112.6129889381307,1117.4504367161226,1067.4635157107907,1078.7508544921875,3014
2014-01-20,1091.6508007854088,1096.4882487680595,1064.2385561831363,1073.9134521484375,2293
2014-01-21,1073.9134375,1099.7131203549702,1069.0759895833332,1088.42578125,2159
2014-01-22,1086.8131225772283,1135.1875921563078,1078.750671613471,1085.2005615234375,5662
2014-01-23,1085.2009149834828,1106.16327069654,1078.7510229727263,1086.8134765625,1390
2014-01-24,1067.463638954811,1086.813432300809,1048.113845608813,1052.9512939453125,2831
2014-01-27,1035.2140508788311,1077.1386468237379,1006.1893578635369,1022.3141479492188,3933
2014-01-28,996.5143558717298,1049.7262874959483,996.5143558717298,1027.1514892578125,1332
2014-01-29,1025.5388401577595,1122.2877873424538,1020.7013927985248,1075.5257568359375,12242
2014-01-30,996.5141031901042,1030.3762329101562,986.839208984375,1015.8638916015625,4719
2014-01-31,1031.988813444814,1041.6637089399271,1006.189131491763,1007.8015747070312,2257
2014-02-03,999.7392119057512,1030.3763407291979,999.7392119057512,1011.0265502929688,2691
2014-02-04,1031.9888630767707,1031.9888630767707,993.2892792351197,1009.4141845703125,2187
2014-02-05,1015.8640301343266,1028.7639302016958,1006.1891346092377,1014.2515869140625,2931
2014-02-06,1022.3139337303948,1027.1513815526234,1007.8015902637089,1012.6390380859375,1344
2014-02-07,1025.5389224819892,1031.988813444814,1001.3516837442064,1007.8015747070312,1002
2014-02-10,1002.9641751955324,1025.538971803748,1002.9641751955324,1009.4141845703125,1290
2014-02-11,1012.6389934620718,1025.5388931201405,1009.4141071238657,1011.0265502929688,1073
2014-02-12,1015.8640729746562,1048.1137654522151,996.5142811084722,1002.9641723632812,2013
2014-02-13,999.7392863021997,1015.8640734984143,967.4895938080136,977.1644897460938,2154
2014-02-14,993.2893391353226,993.2893391353226,915.8902258353547,951.3648071289062,6170
2014-02-17,1077.13848820846,1077.13848820846,902.990296710199,935.239990234375,8169
2014-02-18,957.8146054633143,975.5518932882699,914.2775779422545,961.03955078125,7586
2014-02-19,964.2646640534839,1006.1891941250686,928.7900253462171,988.451904296875,13823
2014-02-20,967.4896536521541,1025.5390328712833,959.4272595553468,996.5143432617188,10939
2014-02-21,1014.2516469067854,1028.7639910528198,978.7770081995186,988.451904296875,3614
2014-02-24,1020.7014747344326,1040.0512657246588,999.739240528938,1007.8015747070312,4957
2014-02-25,1001.3516516323389,1012.6389899807521,983.6143634770655,985.226806640625,1577
2014-02-26,993.2892454550981,993.2892454550981,967.4895631386519,980.389404296875,1930
2014-02-28,988.4518566902815,990.0642999282616,975.5519564811817,980.389404296875,948
2014-03-03,980.3894659934566,980.3894659934566,964.2646782936529,967.4896240234375,1266
2014-03-04,970.7145394370808,986.8393856841739,965.8770914680407,977.1644897460938,1316
2014-03-05,983.6145010270352,993.289338513957,965.877151340473,970.714599609375,1347
2014-03-06,977.1644589179679,1020.7014892657982,954.5897221249407,993.2892456054688,13124
2014-03-07,1046.5012081349544,1096.488249384973,1031.9888641788373,1048.11376953125,35140
2014-03-10,1046.5011771088587,1061.0135206347215,1022.3139378990873,1038.4388427734375,12927
2014-03-11,1033.6011962890625,1059.400873787262,1028.763749376792,1033.6011962890625,2942
2014-03-12,1025.5389370822238,1031.9888281368733,975.5519566288672,993.2892456054688,5975
2014-03-13,1014.2515490295833,1014.2515490295833,961.0395665783009,965.8770141601562,10432
2014-03-14,951.3646714145902,983.6143613275417,949.7522282545543,965.8770141601562,2339
2014-03-18,964.2646309856442,985.2268657771322,938.4648892604929,946.5272827148438,7622
2014-03-19,943.3023686230983,962.6521607999824,927.1775221254018,930.4025268554688,10402
2014-03-20,932.0150161885621,935.2400210778661,920.7276762286451,925.5651245117188,3942
2014-03-21,922.340010320948,936.8523534503905,886.8654331495608,891.702880859375,12653
2014-03-24,899.7652888655589,915.890134514517,898.1527865854002,902.990234375,5684
2014-03-25,894.927886358629,912.6651761343628,891.7029406860082,898.15283203125,6243
2014-03-26,902.9902007949589,902.9902007949589,862.6781767479858,873.9655151367188,9352
2014-03-27,864.2907410692915,936.8524653862344,862.6782976739477,880.4155883789062,33746
2014-03-28,899.7652466084282,928.7899319828936,886.8654061256236,920.7275390625,9509
2014-03-31,933.627411671174,961.0395957844571,927.1774616823938,943.3023071289062,7210
2014-04-01,936.8523879522301,951.3647316161246,925.5650489142305,940.077392578125,4876
2014-04-02,951.3647175467393,1007.8015890547455,928.789980753712,993.2892456054688,17499
2014-04-03,983.614485340415,1054.5637058025234,983.614485340415,1030.37646484375,24560
2014-04-04,1036.8262976703131,1081.9758903038091,1036.8262976703131,1062.6260986328125,18337
2014-04-07,1072.3011474609375,1102.938282610642,1040.0514507074038,1072.3011474609375,7399
2014-04-09,1072.3009334217566,1144.862648057024,1040.051243105499,1094.8756103515625,30424
2014-04-10,1133.5753208192912,1133.5753208192912,1073.9134991240956,1081.9759521484375,13222
2014-04-11,1086.813337978363,1098.1006770833333,1067.4635463116963,1088.42578125,10747
2014-04-15,1090.0382393900204,1107.775588026992,1070.688447459418,1073.9134521484375,6689
2014-04-16,1070.688602783299,1099.71329488979,1051.3388080456384,1057.788818359375,9296
2014-04-17,1049.7263160457112,1109.3881410312833,1041.6638625767214,1101.3258056640625,10940
2014-04-21,1107.775527568033,1149.7001138301437,1107.775527568033,1119.0628662109375,10295
2014-04-22,1128.737854068611,1210.974472018938,1107.7756182720555,1186.7872314453125,29921
2014-04-23,1198.0745072540885,1241.6115336779712,1185.1746082056907,1206.1368408203125,19723
2014-04-24,1206.1368408203125,1206.1368408203125,1206.1368408203125,1206.1368408203125,0
2014-04-25,1214.199314221334,1252.8988939574722,1162.5998352059016,1243.2239990234375,26284
2014-04-28,1257.736238668893,1285.148478109691,1243.2238974534828,1267.4111328125,38964
2014-04-29,1265.7989027776384,1270.6363506632833,1228.7117629537768,1231.936767578125,13735
2014-04-30,1231.936939070391,1267.4115224694544,1144.862865007604,1162.60009765625,12519
2014-05-02,1173.8872194415956,1207.749349636048,1144.8625364177792,1159.3748779296875,7272
2014-05-05,1154.5377621256914,1186.7873404514685,1144.862865007604,1162.60009765625,17394
2014-05-06,1181.9496914952285,1181.9496914952285,1135.1877754207092,1144.8626708984375,3264
2014-05-07,1131.9628601074219,1202.9121385697276,1131.9628601074219,1160.987548828125,6607
2014-05-08,1151.312593053599,1202.9120763672302,1151.312593053599,1180.3372802734375,6772
2014-05-09,1172.2747219852831,1209.3618583416758,1172.2747219852831,1191.62451171875,8682
2014-05-12,1181.9495979271092,1209.3618389778546,1156.149918062829,1167.437255859375,7411
2014-05-13,1209.3621230706935,1235.1618089956119,1172.2749785959356,1190.0123291015625,10618
2014-05-14,1209.3621084221138,1241.6118040139597,1178.7249743760099,1228.7115478515625,13091
2014-05-15,1236.7742740319793,1241.6117221467043,1178.7248966552777,1186.7872314453125,4948
2014-05-16,1209.3619235467906,1235.1616052152056,1177.1122328849597,1198.0745849609375,7653
2014-05-19,1193.2372268560832,1294.8236360612134,1193.2372268560832,1278.69873046875,27535
2014-05-20,1354.4853324149542,1414.1471469755063,1291.5985134099742,1304.4984130859375,81337
2014-05-21,1325.4607225104944,1346.4229573435302,1270.6363524308401,1296.43603515625,43793
2014-05-22,1312.5608548392456,1362.547896375227,1307.7234068261996,1319.0108642578125,57816
2014-05-23,1327.0730844973805,1418.9845888233635,1327.0730844973805,1396.409912109375,80062
2014-05-26,1431.8845064678003,1564.1080363914962,1378.6725822409564,1420.59716796875,106428
2014-05-27,1435.109490056534,1451.2342759779283,1354.4853242460665,1383.510009765625,23652
2014-05-28,1389.9600814678709,1488.3216072684384,1388.3476380963373,1467.3592529296875,28504
2014-05-29,1473.809231958806,1502.8339206531693,1448.0094299404207,1457.684326171875,20852
2014-05-30,1459.2968406632383,1494.771419670032,1399.6349037542016,1423.8221435546875,11957
2014-06-02,1356.09788546897,1383.5101302134115,1302.8859573838388,1370.6102294921875,33445
2014-06-03,1370.6103781791958,1446.3971112225506,1370.6103781791958,1431.884765625,31667
2014-06-04,1441.5595260283708,1481.8715539437903,1410.922394260793,1459.296875,23892
2014-06-05,1470.5840900155333,1493.1588851505655,1436.7219563638598,1472.196533203125,17938
2014-06-06,1473.808997630714,1564.107936032712,1473.808997630714,1535.083251953125,43289
2014-06-09,1551.2083394007122,1554.4332259469431,1493.158964347485,1515.733642578125,33328
2014-06-10,1527.02111470892,1527.02111470892,1460.9092864409197,1501.2213134765625,13088
2014-06-11,1502.8338782675978,1596.3578331666758,1491.5464209147426,1527.0211181640625,50739
2014-06-12,1528.6335603492073,1606.0327279618255,1499.6088724944755,1578.6204833984375,33167
2014-06-13,1593.1328596439664,1593.1328596439664,1448.0094174263452,1459.296875,19086
2014-06-16,1464.1342921575094,1472.1966267092946,1393.1850158709053,1449.6219482421875,8976
2014-06-17,1462.521687683574,1557.6582010265681,1448.009344195749,1544.75830078125,20748
2014-06-18,1610.8701122862599,1651.1821377910376,1538.3083955166087,1559.2706298828125,86454
2014-06-19,1580.233013811315,1594.7453574541687,1375.447641449877,1543.1458740234375,13338
2014-06-20,1525.4086337044914,1559.2707712673948,1483.4841611706436,1493.1590576171875,7578
2014-06-23,1483.4839339361793,1531.858408759079,1478.6464864538893,1504.4461669921875,23670
2014-06-24,1522.1836392399005,1564.1081088069743,1515.7336299974622,1543.1458740234375,10007
2014-06-25,1547.9831509112998,1570.5579445626702,1518.958466831713,1535.083251953125,12423
2014-06-26,1554.4333818438008,1570.5582885991744,1515.7337945937331,1525.40869140625,8841
2014-06-27,1522.18386738205,1551.2085590179252,1486.7091655370207,1506.0589599609375,7096
2014-06-30,1504.4463810946645,1593.1328915239876,1497.996489567622,1585.070556640625,20111
2014-07-01,1626.9949631563238,1628.6075245494249,1570.5581488399612,1578.6204833984375,25406
