Date,Open,High,Low,Close,Volume
2014-01-01,973.5933296932676,977.9788852324265,965.962505882822,972.2337646484375,66461
2014-01-02,973.6811140347115,984.2503467391339,958.68253404673,962.7172241210938,310453
2014-01-03,952.5868338092854,959.9983819615504,948.288966738411,955.13037109375,186172
2014-01-06,954.2970442108294,960.0859570725241,939.4738426065733,951.6657104492188,144416
2014-01-07,953.9459693096214,959.7348809031097,939.5613264836176,951.8408813476562,297558
2014-01-08,947.3675898728524,963.0678985212404,944.7362568167833,950.2182006835938,309014
2014-01-09,952.2357482006827,955.8318825274763,920.9667140663914,924.4751586914062,207498
2014-01-10,925.3523405986562,927.8959845601215,901.845716986084,907.1522827148438,196254
2014-01-13,907.6347328992836,914.8270020725412,900.0476994356488,909.6959228515625,280135
2014-01-14,910.4412542684189,916.2740640646181,892.4604780521352,893.9954223632812,258779
2014-01-15,898.1618467263607,908.5994911636881,892.0220684772547,902.8543701171875,206666
2014-01-16,904.5208559058277,919.8703007333206,901.933420891171,905.4856567382812,300498
2014-01-17,907.8099652206822,915.7039649182534,896.8899215987865,901.3632202148438,190230
2014-01-20,902.5473236570813,906.9328791656192,891.6272797338995,903.2928466796875,319564
2014-01-21,906.9329551586825,909.5642886842879,897.2847322314625,904.3455200195312,222661
2014-01-22,901.6703318168305,903.4245542522718,893.4254649564083,897.8549194335938,141481
2014-01-23,891.1888423647001,901.4071559338886,891.1888423647001,894.6534423828125,273061
2014-01-24,894.6534083167934,897.898730406827,872.9010616450342,876.6287841796875,271037
2014-01-27,868.3400415984166,869.1733079008131,856.148175156067,863.2528076171875,164374
2014-01-28,864.0422530605961,876.8481091660676,859.5690071921182,873.734375,129917
2014-01-29,877.1110873824218,882.0228880579185,860.8406874184003,866.848876953125,135934
2014-01-30,859.5690194831727,869.831231749233,850.9294951399712,861.8494873046875,316976
2014-01-31,868.252371374594,891.7589400988736,861.3231716955788,886.6278076171875,313053
2014-02-03,880.6635169851858,895.9252737526945,876.1902711402026,880.531982421875,243550
2014-02-04,867.1121591941275,889.7416722420211,867.1121591941275,878.0760498046875,255339
2014-02-05,878.3390250127841,888.0749362332003,869.3924816149203,877.9881591796875,321747
2014-02-06,877.6812984493596,898.9512439528935,869.3048440934707,893.732421875,665685
2014-02-07,891.1449732738969,925.3523098464185,882.6808288363358,917.8529663085938,363743
2014-02-10,919.3001492191408,925.1768580015056,904.5647465523355,919.6071166992188,283113
2014-02-11,923.1595392514525,924.4752060532361,912.5026167431581,920.7913818359375,120995
2014-02-12,925.4401063691938,925.4401063691938,907.8101907453799,910.3099365234375,105703
2014-02-13,909.6081038273454,915.7478814918722,886.1014836554666,889.7415161132812,156873
2014-02-14,890.9695910801894,896.1007239791222,878.6461888070892,884.8736572265625,116476
2014-02-17,885.8822668933212,893.5569895025455,878.8653776506019,886.0138549804688,114203
2014-02-18,884.1281504857976,899.0390419126414,881.49681670459,894.5657958984375,168819
2014-02-19,894.653434807102,907.81010296603,894.653434807102,899.74072265625,152027
2014-02-20,897.2847630601848,897.2847630601848,878.9092726014419,884.0404052734375,64873
2014-02-21,882.3737075532026,938.5088141967464,879.8300641195733,934.605712890625,392141
2014-02-24,936.7547675696098,947.6309679327677,926.6240903173552,938.5966796875,261977
2014-02-25,941.1403470182508,954.077737622649,941.1403470182508,950.656982421875,300648
2014-02-26,948.1573461440576,961.3140160720509,943.0262662859909,956.665283203125,202636
2014-02-28,951.6655242024359,973.5933012577915,951.6655242024359,969.1200561523438,316402
2014-03-03,967.541306814405,976.9264605419779,959.5596166092897,964.3837280273438,147479
2014-03-04,964.0327970990951,1000.8714636240186,962.1469868036166,994.0738525390625,205315
2014-03-05,996.486114314779,1032.1407096370601,974.9968877279016,1023.85205078125,333862
2014-03-06,1026.1320803959286,1068.935028786534,1018.3257718422124,1063.1461181640625,453249
2014-03-07,1065.690119511107,1113.8435463250864,1054.287673787943,1106.1688232421875,607707
2014-03-10,1096.4767682304569,1127.351148923072,1085.8198449734125,1111.2122802734375,392791
2014-03-11,1112.2646533644997,1124.7634875381386,1085.468971360099,1097.4853515625,370660
