Date,Open,High,Low,Close,Volume
2014-01-01,2040.0317840995956,2040.0317840995956,1975.8777682455843,1988.82666015625,812
2014-01-02,1991.0914768889072,1998.9691879745212,1920.1920771183825,1956.478759765625,883
2014-01-03,1930.0887248254355,1987.8421047931893,1930.0394410436706,1980.2105712890625,218
2014-01-06,1969.4770134979283,1969.4770134979283,1946.0407754324933,1963.765625,1575
2014-01-07,1952.687798221848,1979.2750753534615,1930.0393769615844,1940.32958984375,990
2014-01-08,1953.6723641767057,1979.2749254007956,1943.8252252443633,1969.13232421875,2046
2014-01-09,1968.4430918065345,1973.3666613208081,1932.057961177787,1939.0001220703125,442
2014-01-10,1947.8626401373883,1969.4278996797493,1910.3450626893568,1947.8134765625,771
2014-01-13,1921.176694679923,1957.069465932423,1885.7269965720413,1903.55029296875,801
2014-01-14,1885.7274999003357,1915.318206661977,1837.0825993607295,1854.3643798828125,672
2014-01-15,1890.6015356861965,1890.6508194663568,1837.4762651688654,1866.4268798828125,683
2014-01-16,1890.6013538171537,1890.650637592573,1832.798697509988,1881.985107421875,4029
2014-01-17,1848.3575292722924,1890.6509490348476,1807.1964344876062,1825.7091064453125,548
2014-01-20,1851.0654471122384,1918.5675204857152,1821.720921484426,1885.9735107421875,627
2014-01-21,1870.956452339177,1918.616630218579,1870.956452339177,1890.7984619140625,363
2014-01-22,1890.6015951245402,1890.7001626879598,1876.8648829142253,1890.65087890625,110
2014-01-23,1871.0057964936748,1913.2007653842832,1832.6019522853298,1880.902099609375,865
2014-01-24,1890.6506819728575,1966.473652031144,1871.1532987332791,1876.963134765625,2267
2014-01-27,1851.3117249767558,1880.803863125703,1851.2131574068267,1860.8634033203125,509
2014-01-28,1865.0481262020432,1929.0545296883859,1854.01937860613,1870.5625,786
2014-01-29,1851.2620934654199,1894.983413756214,1821.7206770803334,1821.868408203125,49576
2014-01-30,1803.0605743902026,1821.7208561593957,1773.4698713205792,1814.0400390625,14447
2014-01-31,1850.2281474440495,1850.2281474440495,1802.0264497789633,1820.4405517578125,184
2014-02-03,1838.509909287693,1838.509909287693,1774.4542298776946,1809.70703125,775
2014-02-04,1817.781962355857,1826.6936717373335,1773.4698343460989,1803.799072265625,751
2014-02-05,1821.6715696353906,1840.2335242242102,1821.6715696353906,1831.5679931640625,640
2014-02-06,1831.518603572593,1861.1093048881307,1812.8583229095495,1839.888671875,1575
2014-02-07,1821.7208156555273,1859.1399459230463,1821.7208156555273,1852.2469482421875,754
2014-02-10,1828.269320625724,1851.2623690946198,1828.2200368426786,1839.44580078125,252
2014-02-11,1831.6663317785249,1861.1093019185264,1831.6663317785249,1856.2841796875,200
2014-02-12,1859.8785829121573,1859.8785829121573,1808.279544843705,1813.941650390625,877
2014-02-13,1821.7206836525932,1868.4945930977271,1782.3321283303749,1797.9398193359375,1597
2014-02-14,1779.7227063126502,1831.5679190292656,1756.778943750639,1760.570068359375,686
2014-02-17,1772.485098098042,1781.4952547209082,1652.0545347399784,1723.643310546875,19554
2014-02-18,1723.6434457370106,1745.2087068294943,1693.7081154692426,1713.10693359375,7132
2014-02-19,1740.4817474824736,1759.6836677517285,1718.3256856333333,1752.446044921875,2804
2014-02-20,1752.4460442098184,1792.1792244022668,1737.9706783516644,1744.716064453125,421
2014-02-21,1765.6904502210846,1772.4850000956508,1735.459781912297,1771.943359375,257
2014-02-24,1745.4549324004631,1800.99270849761,1745.4056486163638,1775.587158203125,1221
2014-02-25,1772.4850011118176,1831.3709397860432,1763.819470802427,1806.063720703125,932
2014-02-26,1820.6867286315735,1866.0328520899523,1783.3661677532418,1811.578125,2406
2014-02-28,1832.3557249338364,1869.9717488940998,1634.6251201496607,1722.6585693359375,5772
2014-03-03,1767.610758097757,1789.0282857113882,1693.7572146024775,1725.071044921875,1956
2014-03-04,1706.5586941100087,1851.262372426154,1703.555268243216,1819.653076171875,1872
2014-03-05,1856.1856951663951,1888.435075281355,1783.6123290657606,1869.233154296875,1372
2014-03-06,1852.4931021692246,1919.2074716958505,1821.7207915019617,1884.447021484375,1708
2014-03-07,1880.7542620242557,1941.8558074970604,1824.822584721991,1927.6759033203125,1953
2014-03-10,1876.76636178499,1969.4279214482626,1876.76636178499,1919.946044921875,2632
2014-03-11,1916.7950657617291,1944.8101307020024,1845.3540176888873,1918.7152099609375,10924
2014-03-12,1898.331442856132,1920.1920426445067,1891.635340471845,1920.0443115234375,5791
2014-03-13,1944.3174205029436,1946.7299212590126,1905.4212249547713,1925.9033203125,2891
2014-03-14,1892.1276660179087,1949.733426341639,1889.616597614374,1944.12060546875,2857
2014-03-18,1952.6875867224762,1969.4277223625581,1920.192029303494,1961.3038330078125,915
2014-03-19,1944.760924553434,1979.2751993704646,1922.5064115267553,1977.847412109375,14857
2014-03-20,2003.84352183292,2006.600768860948,1949.6350932435614,1961.45166015625,1000
2014-03-21,1952.1459650723539,1994.0455883563386,1944.809894816676,1977.354736328125,35673
2014-03-24,1965.587552116768,1975.3362445630073,1939.8865412707498,1951.1123046875,5199
2014-03-25,1951.7028521793454,1959.5805629853164,1920.1920089554608,1949.585693359375,6787
2014-03-26,1959.5808846188586,1969.2311300218362,1901.4827578889528,1920.290771484375,2471
2014-03-27,1934.9625958376741,1934.9625958376741,1880.803337430004,1890.404296875,1500
2014-03-28,1912.2651948920286,1959.482300615184,1891.68476963211,1917.6319580078125,1611
2014-03-31,1920.192081822971,2018.6634706344055,1920.192081822971,2002.8587646484375,3601
2014-04-01,2032.4495786125558,2032.4495786125558,1969.4278862524766,1988.137451171875,8356
2014-04-02,1988.0882554981545,2012.01685345829,1959.679281020843,1976.9610595703125,6303
2014-04-03,1976.9610228880651,1984.1986465156285,1959.7285284394181,1971.2496337890625,1566
2014-04-04,1964.5043304766668,1984.1986094789393,1901.4826376693954,1926.8883056640625,2071
2014-04-07,1920.1922781658293,1920.3891728818523,1902.4674263673755,1914.185546875,1192
2014-04-09,1918.2228208515558,1938.360173532865,1905.4215391928956,1925.2635498046875,1473
2014-04-10,1926.1004307256383,1939.8864256285826,1880.80359033025,1889.666015625,12727
2014-04-11,1939.8863800007443,1998.9692139093966,1895.6727019182363,1954.0662841796875,2893
2014-04-15,2028.510614594045,2157.5574180362387,1971.397208940426,2034.9112548828125,12222
2014-04-16,2080.651248626378,2105.318380634632,2018.6635548648248,2030.1353759765625,1668
2014-04-17,2032.449777195884,2042.986169335072,1994.0459296616593,2009.55517578125,2199
2014-04-21,2010.0473662611312,2065.9298833635535,1994.0457644476623,2006.8470458984375,1114
2014-04-22,2018.7127732710203,2028.5106284675649,2000.5940135195697,2018.90966796875,3582
2014-04-23,2032.0558838551958,2096.456082572045,2017.629679671194,2077.64794921875,1688
2014-04-24,2077.64794921875,2077.64794921875,2077.64794921875,2077.64794921875,0
