date,category,buy_value,sell_value,net_value
19-Jun-2026,DII,18020.49,19180.13,-1159.6399999999994
19-Jun-2026,FII/FPI,31442.87,26583.8,4859.07
19-Jun-2026,DII,18020.49,19180.13,-1159.6399999999994
19-Jun-2026,FII/FPI,31442.87,26583.8,4859.07
19-Jun-2026,DII,18020.49,19180.13,-1159.6399999999994
19-Jun-2026,FII/FPI,31442.87,26583.8,4859.07
19-Jun-2026,DII,18020.49,19180.13,-1159.6399999999994
19-Jun-2026,FII/FPI,31442.87,26583.8,4859.07
19-Jun-2026,DII,18020.49,19180.13,-1159.6399999999994
19-Jun-2026,FII/FPI,31442.87,26583.8,4859.07
19-Jun-2026,DII,18020.49,19180.13,-1159.6399999999994
19-Jun-2026,FII/FPI,31442.87,26583.8,4859.07
19-Jun-2026,DII,18020.49,19180.13,-1159.6399999999994
19-Jun-2026,FII/FPI,31442.87,26583.8,4859.07
19-Jun-2026,DII,18020.49,19180.13,-1159.6399999999994
19-Jun-2026,FII/FPI,31442.87,26583.8,4859.07
19-Jun-2026,DII,18020.49,19180.13,-1159.6399999999994
19-Jun-2026,FII/FPI,31442.87,26583.8,4859.07
19-Jun-2026,DII,18020.49,19180.13,-1159.6399999999994
19-Jun-2026,FII/FPI,31442.87,26583.8,4859.07
2014-01-09,FII_estimate,0.0,21.542211117187797,-21.542211117187797
2014-01-10,FII_estimate,0.0,8.291340961182337,-8.291340961182337
2014-01-13,FII_estimate,39.12317768392138,0.0,39.12317768392138
2014-01-14,FII_estimate,39.500755311955075,0.0,39.500755311955075
2014-01-15,FII_estimate,57.13019961025234,0.0,57.13019961025234
2014-01-16,FII_estimate,58.027322214120225,0.0,58.027322214120225
2014-01-17,FII_estimate,35.37863258251163,0.0,35.37863258251163
2014-01-20,FII_estimate,8.441023230895908,0.0,8.441023230895908
2014-01-21,FII_estimate,20.801548794696092,0.0,20.801548794696092
2014-01-22,FII_estimate,0.0,2.2732528842684934,-2.2732528842684934
2014-01-23,FII_estimate,3.225873500502965,0.0,3.225873500502965
2014-01-24,FII_estimate,0.0,9.673672484503461,-9.673672484503461
2014-01-27,FII_estimate,0.0,72.50114502022886,-72.50114502022886
2014-01-28,FII_estimate,0.0,88.01231533962373,-88.01231533962373
2014-01-29,FII_estimate,0.0,76.44741602265648,-76.44741602265648
2014-01-30,FII_estimate,0.0,96.79735975176064,-96.79735975176064
2014-01-31,FII_estimate,0.0,59.99562279811111,-59.99562279811111
2014-02-03,FII_estimate,0.0,40.41545831227312,-40.41545831227312
2014-02-04,FII_estimate,0.0,33.144243400164974,-33.144243400164974
2014-02-05,FII_estimate,0.0,28.02742924089663,-28.02742924089663
2014-02-06,FII_estimate,0.0,8.398465003905285,-8.398465003905285
2014-02-07,FII_estimate,0.0,7.217534822532066,-7.217534822532066
2014-02-10,FII_estimate,23.669041059132148,0.0,23.669041059132148
2014-02-11,FII_estimate,27.17915855093056,0.0,27.17915855093056
2014-02-12,FII_estimate,21.9634065470834,0.0,21.9634065470834
2014-02-13,FII_estimate,0.0,2.6525264941056292,-2.6525264941056292
2014-02-14,FII_estimate,0.0,3.4382818097132812,-3.4382818097132812
2014-02-18,FII_estimate,29.360739213912364,0.0,29.360739213912364
2014-02-19,FII_estimate,33.64590305739302,0.0,33.64590305739302
2014-02-20,FII_estimate,0.0,0.8039257035565754,-0.8039257035565754
2014-02-21,FII_estimate,43.90647616603351,0.0,43.90647616603351
2014-02-24,FII_estimate,47.66945794916667,0.0,47.66945794916667
2014-02-25,FII_estimate,19.411495017083734,0.0,19.411495017083734
2014-02-26,FII_estimate,31.78599867028965,0.0,31.78599867028965
2014-02-28,FII_estimate,64.06808632518025,0.0,64.06808632518025
2014-03-03,FII_estimate,26.508085132652912,0.0,26.508085132652912
2014-03-04,FII_estimate,33.54874788276441,0.0,33.54874788276441
2014-03-05,FII_estimate,48.89161952247046,0.0,48.89161952247046
2014-03-06,FII_estimate,55.45073465039697,0.0,55.45073465039697
2014-03-07,FII_estimate,98.46280848176282,0.0,98.46280848176282
2014-03-10,FII_estimate,109.09765433065145,0.0,109.09765433065145
2014-03-11,FII_estimate,89.27065905697296,0.0,89.27065905697296
2014-03-12,FII_estimate,68.10652882872938,0.0,68.10652882872938
2014-03-13,FII_estimate,44.71679904673499,0.0,44.71679904673499
2014-03-14,FII_estimate,0.0,17.78287946002687,-17.78287946002687
2014-03-18,FII_estimate,0.0,3.2968680061946545,-3.2968680061946545
2014-03-19,FII_estimate,0.0,1.243597183835588,-1.243597183835588
2014-03-20,FII_estimate,0.0,8.964843122509992,-8.964843122509992
2014-03-21,FII_estimate,0.0,9.25215922295296,-9.25215922295296
2014-03-24,FII_estimate,31.599996612059822,0.0,31.599996612059822
2014-03-25,FII_estimate,29.883668893260896,0.0,29.883668893260896
2014-03-26,FII_estimate,38.36899504811288,0.0,38.36899504811288
2014-03-27,FII_estimate,61.55793477943629,0.0,61.55793477943629
2014-03-28,FII_estimate,79.73532716141486,0.0,79.73532716141486
2014-03-31,FII_estimate,55.90471322705948,0.0,55.90471322705948
2014-04-01,FII_estimate,49.47902530877214,0.0,49.47902530877214
2014-04-02,FII_estimate,52.710827429508186,0.0,52.710827429508186
